,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP1_chr37,HAP1_chr38,HAP1_chr39,HAP1_chr40,HAP1_chr41,HAP1_chr42,HAP1_chr43,HAP1_chr44,HAP1_chr45,HAP1_chr46,HAP1_chr47,HAP1_chr48,HAP1_chr49,HAP1_chr50,HAP1_chr51,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36,HAP2_chr37,HAP2_chr38,HAP2_chr39,HAP2_chr40,HAP2_chr41,HAP2_chr42,HAP2_chr43,HAP2_chr44,HAP2_chr45,HAP2_chr46,HAP2_chr47,HAP2_chr48,HAP2_chr49,HAP2_chr50,HAP2_chr51
HAP1_chr24,0.109098,0.106906,0.118096,0.103871,0.116994,0.095539,0.101829,0.102221,0.113335,0.102498,0.100517,0.112484,0.099042,0.114106,0.102174,0.113011,0.114883,0.101170,0.100485,0.095556,0.099952,0.100206,0.111129,0.000000,0.116269,0.103889,0.100594,0.116246,0.110894,0.115063,0.115022,0.113938,0.099476,0.099053,0.104256,0.099122,0.112089,0.099796,0.114896,0.100656,0.100040,0.069073,0.112257,0.105797,0.112958,0.113706,0.113664,0.112569,0.114152,0.115898,0.113863,0.109089,0.106907,0.118187,0.103918,0.116732,0.095551,0.101876,0.102258,0.113409,0.102608,0.100515,0.112591,0.099098,0.114897,0.102160,0.112890,0.115784,0.101195,0.100488,0.095611,0.100074,0.100194,0.111246,0.000203,0.116398,0.103896,0.100683,0.115904,0.111387,0.117730,0.115210,0.114267,0.099480,0.099066,0.104240,0.099168,0.112262,0.099853,0.114820,0.100497,0.100056,0.069105,0.112301,0.106287,0.112754,0.113437,0.113407,0.114264,0.115009,0.116169,0.115095
HAP1_chr25,0.125525,0.124623,0.118626,0.122141,0.116976,0.119010,0.119515,0.118049,0.113212,0.104761,0.118250,0.111623,0.118296,0.113140,0.111370,0.111837,0.098837,0.116840,0.117613,0.117045,0.115849,0.116966,0.110769,0.116269,0.000000,0.064417,0.114615,0.113029,0.110664,0.093884,0.112334,0.112038,0.117049,0.115626,0.104703,0.115660,0.109547,0.115740,0.112681,0.117356,0.116476,0.111566,0.111497,0.112102,0.109823,0.110753,0.112706,0.111661,0.111598,0.112544,0.112129,0.125511,0.124628,0.118745,0.122159,0.116810,0.119021,0.119559,0.118079,0.113260,0.104825,0.118245,0.111746,0.118345,0.113732,0.111395,0.111753,0.099077,0.116868,0.117615,0.117214,0.116097,0.116937,0.110881,0.116281,0.000075,0.064420,0.114704,0.112864,0.111204,0.101076,0.112430,0.112307,0.117052,0.115621,0.104685,0.115759,0.109745,0.115783,0.112610,0.117331,0.116498,0.111795,0.111484,0.112962,0.109614,0.110203,0.112255,0.112940,0.112427,0.112788,0.113279
HAP1_chr26,0.113133,0.111095,0.121286,0.108587,0.119772,0.106493,0.106594,0.106356,0.116746,0.095384,0.105252,0.115425,0.104580,0.117179,0.115201,0.115811,0.102197,0.105455,0.105003,0.105230,0.103948,0.104217,0.114645,0.103889,0.064417,0.000000,0.104638,0.117745,0.114980,0.104835,0.117065,0.115962,0.104630,0.103857,0.097065,0.103398,0.114663,0.103756,0.117687,0.105038,0.104599,0.117131,0.116431,0.117159,0.116839,0.116075,0.117299,0.116542,0.116447,0.117942,0.117502,0.113118,0.111121,0.121328,0.108564,0.119596,0.106496,0.106594,0.106372,0.116779,0.095389,0.105255,0.115470,0.104620,0.117603,0.115208,0.115749,0.102489,0.105492,0.105004,0.105260,0.104037,0.104222,0.114722,0.103906,0.064406,0.000013,0.104711,0.117528,0.115109,0.105988,0.117283,0.116194,0.104637,0.103857,0.097051,0.103433,0.114734,0.103806,0.117600,0.104993,0.104599,0.117370,0.116433,0.117752,0.116756,0.116060,0.117152,0.117760,0.116969,0.118112,0.118516
HAP1_chr27,0.110867,0.108512,0.118003,0.106459,0.116779,0.101019,0.103466,0.104032,0.113593,0.103401,0.102011,0.111818,0.100761,0.113800,0.111862,0.112529,0.113714,0.093639,0.102011,0.102373,0.100900,0.099952,0.110521,0.100594,0.114615,0.104638,0.000000,0.102023,0.109691,0.114418,0.113650,0.112786,0.100849,0.100125,0.104335,0.099226,0.068812,0.099165,0.112410,0.101416,0.094698,0.113320,0.111455,0.113503,0.112324,0.111239,0.111925,0.111600,0.112614,0.105381,0.111939,0.110863,0.108503,0.118095,0.106504,0.116594,0.101042,0.103543,0.104066,0.113656,0.103473,0.102011,0.111950,0.100796,0.114505,0.111893,0.112409,0.114603,0.093667,0.102009,0.102380,0.101072,0.099928,0.110619,0.100603,0.114711,0.104646,0.000081,0.101843,0.110166,0.116587,0.113866,0.113102,0.100852,0.100140,0.104285,0.099309,0.068817,0.099342,0.112405,0.101327,0.094688,0.113613,0.111372,0.114203,0.112168,0.111006,0.111707,0.113097,0.113437,0.105548,0.113038
HAP1_chr28,0.124859,0.122674,0.117729,0.121334,0.116232,0.118940,0.119028,0.118057,0.112545,0.117186,0.117739,0.111000,0.116370,0.113086,0.110893,0.110707,0.111872,0.064020,0.116782,0.116554,0.115204,0.115671,0.110814,0.116246,0.113029,0.117745,0.102023,0.000000,0.110940,0.112021,0.112071,0.111550,0.116599,0.116356,0.118023,0.116202,0.098182,0.115910,0.112603,0.117051,0.103997,0.112107,0.111862,0.111425,0.111911,0.111683,0.112202,0.112188,0.112371,0.100751,0.112929,0.124853,0.122702,0.117779,0.121322,0.116138,0.118937,0.119073,0.118091,0.112622,0.117260,0.117753,0.111034,0.116415,0.113650,0.110872,0.110623,0.112353,0.063999,0.116759,0.116625,0.115336,0.115676,0.110931,0.116259,0.113115,0.117767,0.102068,0.000706,0.111143,0.113778,0.112152,0.111712,0.116603,0.116364,0.118011,0.116257,0.098251,0.115990,0.112605,0.117033,0.104010,0.112306,0.111917,0.112109,0.111835,0.111433,0.111918,0.113406,0.113015,0.100881,0.113842
HAP1_chr29,0.125702,0.123217,0.118011,0.114510,0.116210,0.116952,0.116524,0.116113,0.110550,0.116492,0.114845,0.108964,0.112702,0.110592,0.107630,0.108890,0.110754,0.107966,0.112758,0.113476,0.101700,0.111700,0.105976,0.110894,0.110664,0.114980,0.109691,0.110940,0.000000,0.108049,0.108131,0.097818,0.110437,0.109631,0.114369,0.072457,0.103818,0.109312,0.108035,0.110611,0.110655,0.107700,0.101123,0.105345,0.105298,0.104922,0.105506,0.102777,0.097853,0.107195,0.103383,0.125687,0.123204,0.118294,0.114565,0.115882,0.116952,0.116585,0.116166,0.110725,0.116516,0.114843,0.109226,0.112752,0.111719,0.107436,0.108630,0.111855,0.108013,0.112749,0.113694,0.101899,0.111665,0.106216,0.110873,0.110839,0.114979,0.109799,0.110736,0.000549,0.110008,0.108353,0.098096,0.110438,0.109642,0.114362,0.072442,0.104157,0.109366,0.107937,0.110557,0.110681,0.108127,0.101230,0.106656,0.104811,0.104521,0.104929,0.105163,0.098885,0.107564,0.104818
HAP1_chr30,0.127582,0.125780,0.119949,0.122913,0.117933,0.120041,0.119584,0.118738,0.113356,0.105357,0.117899,0.111734,0.117902,0.112898,0.110632,0.111583,0.098797,0.116611,0.116938,0.115967,0.115385,0.116358,0.110315,0.115063,0.093884,0.104835,0.114418,0.112021,0.108049,0.000000,0.111355,0.110909,0.116212,0.114920,0.064884,0.114708,0.108230,0.114820,0.111156,0.115733,0.114472,0.110314,0.109400,0.110058,0.110172,0.108222,0.110111,0.108785,0.109974,0.110441,0.108790,0.127564,0.125768,0.120094,0.122912,0.117709,0.120043,0.119609,0.118799,0.113551,0.105400,0.117898,0.111907,0.117938,0.113666,0.110509,0.111454,0.099234,0.116637,0.116936,0.116269,0.115655,0.116327,0.110496,0.115043,0.094010,0.104849,0.114503,0.111844,0.108482,0.003217,0.111466,0.111192,0.116216,0.114923,0.064888,0.114715,0.108485,0.114870,0.111154,0.115696,0.114470,0.110720,0.109543,0.110999,0.109761,0.107345,0.109365,0.110468,0.110979,0.110745,0.110026
HAP1_chr31,0.123999,0.122251,0.116386,0.120199,0.114847,0.117352,0.117561,0.116615,0.111186,0.116995,0.116377,0.109648,0.114633,0.112012,0.109197,0.109955,0.110942,0.114757,0.068043,0.108480,0.113799,0.113982,0.107764,0.115022,0.112334,0.117065,0.113650,0.112071,0.108131,0.111355,0.000000,0.109682,0.114390,0.113947,0.116875,0.113637,0.107491,0.114223,0.109972,0.103792,0.114538,0.110922,0.109072,0.110075,0.098913,0.109739,0.110644,0.099508,0.110917,0.111628,0.110308,0.123985,0.122282,0.116444,0.120213,0.114728,0.117366,0.117571,0.116658,0.111307,0.117014,0.116381,0.109781,0.114681,0.112537,0.109165,0.109861,0.111537,0.114773,0.068041,0.108490,0.113942,0.113987,0.107875,0.115063,0.112421,0.117089,0.113729,0.111872,0.108554,0.113738,0.000176,0.109947,0.114390,0.113946,0.116850,0.113661,0.107672,0.114295,0.109919,0.103727,0.114555,0.111172,0.109163,0.110847,0.098761,0.109611,0.110189,0.100327,0.111785,0.111917,0.111332
HAP1_chr32,0.123219,0.121443,0.116102,0.113333,0.114513,0.117234,0.117024,0.116636,0.111417,0.116627,0.115859,0.109502,0.114718,0.111894,0.108626,0.109859,0.110112,0.114497,0.114681,0.115530,0.067252,0.113803,0.106882,0.113938,0.112038,0.115962,0.112786,0.111550,0.097818,0.110909,0.109682,0.000000,0.114351,0.113640,0.116452,0.102261,0.107541,0.113580,0.110165,0.114173,0.114239,0.108714,0.109045,0.109835,0.109272,0.109853,0.109777,0.109104,0.097598,0.110359,0.110172,0.123214,0.121423,0.116157,0.113323,0.114413,0.117235,0.117085,0.116663,0.111465,0.116623,0.115854,0.109642,0.114751,0.112408,0.108535,0.109727,0.110655,0.114500,0.114680,0.115553,0.067152,0.113803,0.106971,0.113955,0.112087,0.115968,0.112852,0.111193,0.097966,0.112675,0.109771,0.000112,0.114354,0.113644,0.116422,0.102297,0.107669,0.113632,0.110081,0.114158,0.114255,0.109004,0.109066,0.110660,0.109149,0.109682,0.109474,0.110379,0.098132,0.110652,0.110991
HAP1_chr33,0.111832,0.109968,0.120919,0.107107,0.120278,0.104375,0.103480,0.104218,0.115365,0.104617,0.102674,0.114494,0.094020,0.115245,0.113964,0.113706,0.116483,0.103054,0.101177,0.101642,0.100969,0.100105,0.102740,0.099476,0.117049,0.104630,0.100849,0.116599,0.110437,0.116212,0.114390,0.114351,0.000000,0.093418,0.104083,0.098220,0.111428,0.099066,0.115011,0.099754,0.099601,0.114292,0.074355,0.113857,0.112354,0.112764,0.104808,0.110733,0.113379,0.115132,0.111989,0.111828,0.109990,0.121012,0.107123,0.119984,0.104401,0.103521,0.104224,0.115455,0.104568,0.102673,0.114603,0.094039,0.115974,0.113967,0.113586,0.117265,0.103070,0.101178,0.101674,0.101126,0.100098,0.102799,0.099560,0.117163,0.104656,0.100975,0.116359,0.110824,0.118714,0.114532,0.114654,0.000012,0.093415,0.104062,0.098302,0.111518,0.099082,0.114903,0.099611,0.099613,0.114546,0.074355,0.114521,0.112188,0.112551,0.104673,0.112330,0.114176,0.115370,0.113140
HAP1_chr34,0.111756,0.109279,0.120204,0.106948,0.119100,0.103395,0.103415,0.104167,0.114643,0.103806,0.101635,0.113346,0.093107,0.115268,0.112379,0.112999,0.115524,0.102328,0.100687,0.100958,0.100427,0.099670,0.101645,0.099053,0.115626,0.103857,0.100125,0.116356,0.109631,0.114920,0.113947,0.113640,0.093418,0.000000,0.103689,0.097799,0.111217,0.098985,0.114026,0.099546,0.099243,0.113245,0.104027,0.113547,0.111323,0.111739,0.073787,0.109994,0.112310,0.114117,0.111698,0.111743,0.109267,0.120279,0.106980,0.118882,0.103406,0.103448,0.104183,0.114697,0.103848,0.101633,0.113461,0.093096,0.115850,0.112300,0.112916,0.116208,0.102362,0.100692,0.101006,0.100676,0.099651,0.101695,0.099061,0.115752,0.103868,0.100196,0.116118,0.109984,0.117966,0.114141,0.113899,0.093420,0.000047,0.103661,0.097836,0.111331,0.099033,0.114007,0.099462,0.099254,0.113487,0.104020,0.114205,0.111202,0.111413,0.073767,0.111380,0.113051,0.114286,0.112737
HAP1_chr35,0.116104,0.113575,0.124030,0.111492,0.122249,0.108425,0.107923,0.107259,0.118090,0.096888,0.106434,0.117188,0.105264,0.118108,0.116714,0.116395,0.103514,0.105863,0.104891,0.104892,0.104790,0.104341,0.115197,0.104256,0.104703,0.097065,0.104335,0.118023,0.114369,0.064884,0.116875,0.116452,0.104083,0.103689,0.000000,0.102622,0.114801,0.103335,0.117286,0.104391,0.103134,0.116758,0.116063,0.116262,0.115830,0.115425,0.116704,0.113886,0.116265,0.116435,0.115886,0.116096,0.113567,0.124087,0.111496,0.122068,0.108443,0.107958,0.107296,0.118102,0.096917,0.106430,0.117233,0.105297,0.118701,0.116714,0.116311,0.103806,0.105891,0.104893,0.104939,0.104785,0.104349,0.115263,0.104223,0.104735,0.097081,0.104392,0.117788,0.114733,0.064578,0.117020,0.116690,0.104086,0.103691,0.000032,0.102644,0.114861,0.103388,0.117220,0.104327,0.103152,0.116997,0.116069,0.116777,0.115741,0.115284,0.116551,0.115114,0.116809,0.116570,0.117011
HAP1_chr36,0.112017,0.109440,0.120712,0.103324,0.119585,0.103993,0.103957,0.104054,0.115397,0.103708,0.101938,0.113969,0.100280,0.115500,0.112984,0.113535,0.115875,0.101860,0.100709,0.101799,0.092629,0.100017,0.111340,0.099122,0.115660,0.103398,0.099226,0.116202,0.072457,0.114708,0.113637,0.102261,0.098220,0.097799,0.102622,0.000000,0.110380,0.098352,0.114091,0.099524,0.098802,0.113110,0.111377,0.112997,0.111493,0.111670,0.112158,0.110371,0.103168,0.113313,0.110838,0.112005,0.109426,0.120826,0.103325,0.119276,0.104006,0.104000,0.104044,0.115432,0.103711,0.101939,0.114078,0.100311,0.116185,0.112954,0.113417,0.116672,0.101888,0.100710,0.101880,0.092650,0.100007,0.111402,0.099125,0.115763,0.103414,0.099338,0.115978,0.072315,0.117028,0.113838,0.102445,0.098225,0.097797,0.102601,0.000046,0.110483,0.098414,0.113986,0.099438,0.098819,0.113315,0.111278,0.113677,0.111461,0.111501,0.112000,0.111929,0.103723,0.113518,0.112110
HAP1_chr37,0.124454,0.122468,0.116430,0.119314,0.114735,0.116886,0.115977,0.116238,0.109376,0.116322,0.114847,0.108548,0.113771,0.109749,0.107357,0.107639,0.109667,0.101820,0.113908,0.113733,0.111602,0.112137,0.106452,0.112089,0.109547,0.114663,0.068812,0.098182,0.103818,0.108230,0.107491,0.107541,0.111428,0.111217,0.114801,0.110380,0.000000,0.111000,0.108317,0.111336,0.102565,0.107804,0.104119,0.106075,0.106174,0.105265,0.106531,0.104262,0.106721,0.100030,0.104755,0.124446,0.122454,0.116660,0.119328,0.114464,0.116888,0.116027,0.116281,0.109598,0.116324,0.114849,0.108756,0.113809,0.110768,0.107291,0.107429,0.110682,0.101821,0.113900,0.113905,0.111941,0.112097,0.106670,0.112083,0.109709,0.114684,0.068842,0.097976,0.104372,0.110013,0.107598,0.108014,0.111431,0.111227,0.114773,0.110388,0.000167,0.111075,0.108164,0.111264,0.102578,0.108255,0.104220,0.107268,0.105622,0.104871,0.105886,0.106689,0.107940,0.100383,0.106116
HAP1_chr38,0.113243,0.110525,0.122279,0.108437,0.120724,0.102387,0.104510,0.105153,0.115973,0.105178,0.102547,0.114867,0.100013,0.115790,0.113782,0.114073,0.116007,0.102479,0.101336,0.101592,0.100102,0.093093,0.111661,0.099796,0.115740,0.103756,0.099165,0.115910,0.109312,0.114820,0.114223,0.113580,0.099066,0.098985,0.103335,0.098352,0.111000,0.000000,0.103983,0.099179,0.098566,0.113967,0.111501,0.113586,0.111386,0.071775,0.112067,0.110452,0.111882,0.112608,0.104414,0.113236,0.110512,0.122411,0.108466,0.120536,0.102407,0.104552,0.105159,0.116062,0.105253,0.102562,0.114945,0.100053,0.116414,0.113733,0.113924,0.116814,0.102504,0.101306,0.101628,0.100210,0.093101,0.111749,0.099806,0.115850,0.103767,0.099229,0.115698,0.109651,0.117001,0.114430,0.113850,0.099069,0.098984,0.103327,0.098444,0.111072,0.000082,0.103998,0.099023,0.098587,0.114186,0.111497,0.114234,0.111198,0.071839,0.111921,0.111995,0.112556,0.112820,0.105353
HAP1_chr39,0.126592,0.124563,0.119092,0.123139,0.116603,0.113308,0.118915,0.118249,0.112711,0.118179,0.117074,0.111051,0.116171,0.112663,0.110375,0.110542,0.111564,0.115650,0.115961,0.116190,0.114555,0.068685,0.108519,0.114896,0.112681,0.117687,0.112410,0.112603,0.108035,0.111156,0.109972,0.110165,0.115011,0.114026,0.117286,0.114091,0.108317,0.103983,0.000000,0.114942,0.113753,0.110622,0.108145,0.110053,0.109454,0.098851,0.109533,0.108003,0.109098,0.110410,0.100120,0.126577,0.124598,0.119178,0.123157,0.116498,0.113305,0.118959,0.118289,0.112819,0.118207,0.117073,0.111163,0.116210,0.113251,0.110356,0.110480,0.112188,0.115678,0.115959,0.116278,0.114683,0.068695,0.108641,0.114903,0.112752,0.117686,0.112459,0.112240,0.108269,0.112752,0.110022,0.110355,0.115014,0.114013,0.117284,0.114128,0.108505,0.104004,0.000199,0.114914,0.113750,0.110857,0.108222,0.110877,0.109243,0.098752,0.109210,0.109161,0.109919,0.110745,0.100712
HAP1_chr40,0.114916,0.112393,0.123364,0.109890,0.121829,0.106544,0.106105,0.106107,0.116800,0.105943,0.104122,0.115366,0.102845,0.116620,0.114936,0.115359,0.116755,0.103875,0.095111,0.099170,0.102105,0.101578,0.112921,0.100656,0.117356,0.105038,0.101416,0.117051,0.110611,0.115733,0.103792,0.114173,0.099754,0.099546,0.104391,0.099524,0.111336,0.099179,0.114942,0.000000,0.100118,0.114482,0.112209,0.114136,0.071489,0.112240,0.112495,0.104112,0.112952,0.114577,0.112433,0.114904,0.112380,0.123518,0.109882,0.121570,0.106570,0.106146,0.106097,0.116874,0.106016,0.104122,0.115454,0.102875,0.117352,0.114870,0.115215,0.117613,0.103899,0.095115,0.099226,0.102156,0.101577,0.113066,0.100633,0.117430,0.105060,0.101488,0.116970,0.110698,0.117226,0.103920,0.114457,0.099758,0.099540,0.104372,0.099589,0.111427,0.099361,0.114832,0.000145,0.100137,0.114823,0.112244,0.114858,0.071528,0.112025,0.112311,0.105268,0.113826,0.114780,0.113526
HAP1_chr41,0.114572,0.112205,0.123601,0.109024,0.122109,0.105942,0.105853,0.105642,0.116857,0.105864,0.104243,0.115685,0.101690,0.116449,0.115201,0.115306,0.116905,0.094138,0.101674,0.101727,0.101412,0.101019,0.112830,0.100040,0.116476,0.104599,0.094698,0.103997,0.110655,0.114472,0.114538,0.114239,0.099601,0.099243,0.103134,0.098802,0.102565,0.098566,0.113753,0.100118,0.000000,0.114407,0.111756,0.113315,0.111835,0.112014,0.112812,0.110681,0.112772,0.069127,0.111175,0.114564,0.112197,0.123687,0.109058,0.121815,0.105956,0.105902,0.105659,0.116918,0.105900,0.104235,0.115781,0.101732,0.117166,0.115108,0.115118,0.117677,0.094160,0.101680,0.101840,0.101610,0.101014,0.112918,0.100038,0.116602,0.104605,0.094755,0.103981,0.110928,0.116377,0.114789,0.114589,0.099610,0.099244,0.103108,0.098869,0.102571,0.098609,0.113694,0.100046,0.000044,0.114706,0.111819,0.114017,0.111664,0.111691,0.112639,0.112206,0.113511,0.069165,0.112242
HAP1_chr42,0.127677,0.125623,0.119698,0.122064,0.117095,0.108772,0.119005,0.118329,0.111669,0.118827,0.117545,0.110965,0.116780,0.112150,0.099771,0.110483,0.112166,0.116576,0.116872,0.108719,0.114676,0.115273,0.108850,0.069073,0.111566,0.117131,0.113320,0.112107,0.107700,0.110314,0.110922,0.108714,0.114292,0.113245,0.116758,0.113110,0.107804,0.113967,0.110622,0.114482,0.114407,0.000000,0.108553,0.100317,0.108275,0.108665,0.109121,0.107896,0.109374,0.109589,0.109852,0.127665,0.125624,0.119804,0.122052,0.117014,0.108767,0.119031,0.118454,0.111799,0.118960,0.117546,0.111125,0.116766,0.112658,0.099796,0.110354,0.112684,0.116607,0.116864,0.108732,0.114807,0.115274,0.109028,0.069041,0.111626,0.117155,0.113396,0.111918,0.107987,0.111375,0.111011,0.108950,0.114293,0.113257,0.116731,0.113096,0.107960,0.113994,0.110491,0.114475,0.114426,0.000187,0.108630,0.100878,0.107903,0.108535,0.108694,0.108927,0.110382,0.109869,0.110571
HAP1_chr43,0.127308,0.125276,0.119079,0.122120,0.117602,0.119237,0.118130,0.117839,0.111179,0.118806,0.116381,0.110169,0.105938,0.111293,0.108987,0.109645,0.112080,0.113425,0.114724,0.115326,0.113361,0.113712,0.098455,0.112257,0.111497,0.116431,0.111455,0.111862,0.101123,0.109400,0.109072,0.109045,0.074355,0.104027,0.116063,0.111377,0.104119,0.111501,0.108145,0.112209,0.111756,0.108553,0.000000,0.106847,0.106188,0.105870,0.098685,0.103423,0.106132,0.108051,0.104517,0.127297,0.125265,0.119288,0.122139,0.117266,0.119234,0.118186,0.117881,0.111349,0.118835,0.116375,0.110401,0.105951,0.112343,0.108853,0.109442,0.113034,0.113436,0.114721,0.115442,0.113591,0.113678,0.098628,0.112268,0.111640,0.116465,0.111541,0.111655,0.101457,0.111212,0.109204,0.109383,0.074353,0.104028,0.116031,0.111396,0.104332,0.111538,0.108071,0.112160,0.111771,0.108842,0.000121,0.108000,0.105848,0.105558,0.098305,0.105256,0.107378,0.108466,0.105890
HAP1_chr44,0.129312,0.127180,0.121196,0.124089,0.119122,0.110385,0.119672,0.119194,0.113452,0.120001,0.118775,0.111812,0.116863,0.112334,0.100589,0.110485,0.112920,0.116211,0.116548,0.077725,0.115577,0.115799,0.108602,0.105797,0.112102,0.117159,0.113503,0.111425,0.105345,0.110058,0.110075,0.109835,0.113857,0.113547,0.116262,0.112997,0.106075,0.113586,0.110053,0.114136,0.113315,0.100317,0.106847,0.000000,0.107563,0.106839,0.107286,0.104221,0.107859,0.108806,0.106042,0.129298,0.127160,0.121451,0.124097,0.118832,0.110378,0.119728,0.119236,0.113607,0.120070,0.118770,0.112005,0.116857,0.113203,0.100551,0.110293,0.113685,0.116231,0.116541,0.077688,0.115762,0.115760,0.108808,0.105783,0.112224,0.117189,0.113592,0.111216,0.105680,0.110971,0.110189,0.110169,0.113862,0.113555,0.116265,0.113021,0.106400,0.113666,0.109916,0.114104,0.113332,0.100561,0.107019,0.000387,0.107034,0.106465,0.106542,0.106039,0.108982,0.109153,0.107134
HAP1_chr45,0.128862,0.126721,0.121519,0.123608,0.119082,0.120199,0.119445,0.119077,0.113047,0.119339,0.117193,0.111508,0.115975,0.112821,0.110527,0.110711,0.113159,0.115722,0.104765,0.110624,0.113878,0.113835,0.107718,0.112958,0.109823,0.116839,0.112324,0.111911,0.105298,0.110172,0.098913,0.109272,0.112354,0.111323,0.115830,0.111493,0.106174,0.111386,0.109454,0.071489,0.111835,0.108275,0.106188,0.107563,0.000000,0.106125,0.106492,0.099503,0.106941,0.107867,0.106075,0.128852,0.126724,0.121640,0.123618,0.118820,0.120195,0.119454,0.119108,0.113139,0.119372,0.117190,0.111554,0.115972,0.113581,0.110425,0.110593,0.113728,0.115751,0.104766,0.110712,0.114022,0.113795,0.107824,0.112939,0.109943,0.116839,0.112382,0.111900,0.105487,0.111726,0.099043,0.109550,0.112353,0.111318,0.115797,0.111492,0.106299,0.111400,0.109288,0.071547,0.111862,0.108439,0.106257,0.108323,0.000200,0.105799,0.106263,0.100624,0.107779,0.108036,0.107230
HAP1_chr46,0.130569,0.127540,0.121657,0.124971,0.119540,0.116153,0.120426,0.119288,0.113056,0.120374,0.118320,0.111985,0.116437,0.112589,0.110307,0.110852,0.112638,0.116268,0.115853,0.116031,0.114530,0.104757,0.107752,0.113706,0.110753,0.116075,0.111239,0.111683,0.104922,0.108222,0.109739,0.109853,0.112764,0.111739,0.115425,0.111670,0.105265,0.071775,0.098851,0.112240,0.112014,0.108665,0.105870,0.106839,0.106125,0.000000,0.106225,0.104378,0.106099,0.107312,0.098585,0.130559,0.127574,0.121804,0.124984,0.119428,0.116147,0.120462,0.119320,0.113178,0.120400,0.118301,0.112168,0.116470,0.113293,0.110182,0.110613,0.113387,0.116320,0.115846,0.116115,0.114800,0.104769,0.107923,0.113683,0.110837,0.116071,0.111312,0.111606,0.105451,0.110568,0.109791,0.110185,0.112768,0.111738,0.115387,0.111667,0.105422,0.071748,0.098844,0.112227,0.112037,0.108972,0.106011,0.107717,0.105755,0.000590,0.105749,0.105741,0.107194,0.107621,0.099149
HAP1_chr47,0.129313,0.127493,0.121696,0.124025,0.119497,0.120474,0.119943,0.119590,0.113439,0.119976,0.117901,0.112150,0.106460,0.112952,0.110429,0.110861,0.112900,0.115836,0.116432,0.116143,0.114687,0.114472,0.098597,0.113664,0.112706,0.117299,0.111925,0.112202,0.105506,0.110111,0.110644,0.109777,0.104808,0.073787,0.116704,0.112158,0.106531,0.112067,0.109533,0.112495,0.112812,0.109121,0.098685,0.107286,0.106492,0.106225,0.000000,0.105585,0.106994,0.108876,0.105852,0.129303,0.127476,0.121844,0.124021,0.119203,0.120474,0.119954,0.119619,0.113521,0.120024,0.117899,0.112291,0.106484,0.113819,0.110409,0.110695,0.113728,0.115841,0.116430,0.116187,0.114862,0.114458,0.098694,0.113654,0.112810,0.117306,0.111994,0.112111,0.105654,0.111521,0.110745,0.110072,0.104808,0.073763,0.116666,0.112154,0.106686,0.112103,0.109489,0.112499,0.112823,0.109407,0.098737,0.108145,0.106348,0.106066,0.000312,0.107206,0.107947,0.109171,0.106992
HAP1_chr48,0.129498,0.127264,0.121177,0.123418,0.119574,0.120107,0.119055,0.119131,0.112889,0.119196,0.116741,0.111700,0.115636,0.112251,0.109413,0.110117,0.112391,0.115030,0.105308,0.086572,0.113699,0.113528,0.107598,0.112569,0.111661,0.116542,0.111600,0.112188,0.102777,0.108785,0.099508,0.109104,0.110733,0.109994,0.113886,0.110371,0.104262,0.110452,0.108003,0.104112,0.110681,0.107896,0.103423,0.104221,0.099503,0.104378,0.105585,0.000000,0.105684,0.106285,0.101982,0.129490,0.127265,0.121502,0.123456,0.119226,0.120100,0.119132,0.119179,0.113124,0.119174,0.116738,0.112015,0.115671,0.113564,0.109173,0.109909,0.113589,0.115052,0.105300,0.086609,0.114066,0.113518,0.107897,0.112592,0.111789,0.116569,0.111710,0.112032,0.103388,0.110874,0.099571,0.109772,0.110736,0.110000,0.113860,0.110391,0.104631,0.110497,0.107923,0.104067,0.110697,0.108382,0.103542,0.105686,0.099016,0.103961,0.104721,0.000948,0.107165,0.106661,0.103191
