species	k	group_sizes	separation_ratio	null_mean_ratio	z_score	groups
drMyrVert1	2	2,12	1.0454	1.0008	2.39	chr01,chr06,chr03,chr12,chr07,chr09,chr10,chr13,chr05,chr11,chr04,chr08 | chr02,chr14
drRosSpin1	7	2,2,2,2,2,2,2	1.9952	1.0053	13.36	chr01,chr03 | chr02,chr04 | chr05,chr09 | chr06,chr10 | chr07,chr12 | chr08,chr11 | chr13,chr14
drRosSpin1	6	2,2,2,2,2,4	1.4877	1.0021	9.45	chr01,chr03,chr08,chr11 | chr02,chr04 | chr05,chr09 | chr06,chr10 | chr07,chr12 | chr13,chr14
drRosSpin1	5	2,2,2,2,6	1.2478	1.0009	6.81	chr01,chr03,chr08,chr11,chr05,chr09 | chr02,chr04 | chr06,chr10 | chr07,chr12 | chr13,chr14
drRosSpin1	4	2,2,2,8	1.1465	0.9988	5.23	chr01,chr03,chr08,chr11,chr05,chr09,chr02,chr04 | chr06,chr10 | chr07,chr12 | chr13,chr14
drRosSpin1	3	2,2,10	1.0988	1.0014	4.23	chr01,chr03,chr08,chr11,chr05,chr09,chr02,chr04,chr07,chr12 | chr06,chr10 | chr13,chr14
drRosSpin1	2	2,12	1.0763	1.0001	3.29	chr01,chr03,chr08,chr11,chr05,chr09,chr02,chr04,chr07,chr12,chr06,chr10 | chr13,chr14
drSorDevo1	17	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	2.2771	1.0000	42.24	chr01,chr02 | chr03,chr09 | chr04,chr05 | chr06,chr14 | chr07,chr08 | chr10,chr15 | chr11,chr21 | chr12,chr16 | chr13,chr17 | chr18,chr22 | chr19,chr24 | chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29 | chr28,chr33 | chr30,chr31
drSorDevo1	16	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4	1.9191	1.0015	35.44	chr01,chr02 | chr03,chr09 | chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08 | chr10,chr15 | chr11,chr21 | chr12,chr16 | chr18,chr22 | chr19,chr24 | chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29 | chr28,chr33 | chr30,chr31
drSorDevo1	15	2,2,2,2,2,2,2,2,2,2,2,2,2,4,4	1.7344	0.9995	31.95	chr01,chr02 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08 | chr10,chr15 | chr11,chr21 | chr12,chr16 | chr18,chr22 | chr19,chr24 | chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29 | chr28,chr33 | chr30,chr31
drSorDevo1	14	2,2,2,2,2,2,2,2,2,2,2,4,4,4	1.6172	0.9998	29.33	chr01,chr02 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr10,chr15 | chr11,chr21 | chr18,chr22 | chr19,chr24 | chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29 | chr28,chr33 | chr30,chr31
drSorDevo1	13	2,2,2,2,2,2,2,2,2,4,4,4,4	1.5382	1.0012	26.18	chr01,chr02 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr10,chr15 | chr11,chr21 | chr18,chr22 | chr19,chr24,chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29 | chr28,chr33 | chr30,chr31
drSorDevo1	12	2,2,2,2,2,2,2,4,4,4,4,4	1.4740	1.0001	22.41	chr01,chr02 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr10,chr15 | chr11,chr21 | chr18,chr22,chr28,chr33 | chr19,chr24,chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29 | chr30,chr31
drSorDevo1	11	2,2,2,2,2,4,4,4,4,4,4	1.4244	0.9993	22.28	chr01,chr02 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr10,chr15 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33 | chr19,chr24,chr20,chr25 | chr23,chr32 | chr26,chr34 | chr27,chr29
drSorDevo1	9	2,4,4,4,4,4,4,4,4	1.3545	0.9996	20.88	chr01,chr02,chr27,chr29 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr10,chr15 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33 | chr19,chr24,chr20,chr25 | chr23,chr32,chr26,chr34
drSorDevo1	10	2,2,2,4,4,4,4,4,4,4	1.3856	1.0007	20.85	chr01,chr02 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr10,chr15 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33 | chr19,chr24,chr20,chr25 | chr23,chr32,chr26,chr34 | chr27,chr29
drSorDevo1	8	4,4,4,4,4,4,4,6	1.2964	0.9999	18.53	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33 | chr19,chr24,chr20,chr25 | chr23,chr32,chr26,chr34
drSorDevo1	7	4,4,4,4,4,6,8	1.2229	1.0001	15.27	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05 | chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33,chr23,chr32,chr26,chr34 | chr19,chr24,chr20,chr25
drSorDevo1	6	4,4,4,6,8,8	1.1798	1.0010	12.64	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05,chr06,chr14,chr13,chr17 | chr07,chr08,chr12,chr16 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33,chr23,chr32,chr26,chr34 | chr19,chr24,chr20,chr25
drSorDevo1	5	4,4,6,8,12	1.1312	0.9992	11.67	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05,chr06,chr14,chr13,chr17,chr07,chr08,chr12,chr16 | chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33,chr23,chr32,chr26,chr34 | chr19,chr24,chr20,chr25
drSorDevo1	4	4,6,8,16	1.0933	1.0003	9.70	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05,chr06,chr14,chr13,chr17,chr07,chr08,chr12,chr16,chr11,chr21,chr30,chr31 | chr18,chr22,chr28,chr33,chr23,chr32,chr26,chr34 | chr19,chr24,chr20,chr25
drSorDevo1	3	4,6,24	1.0546	0.9999	8.02	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05,chr06,chr14,chr13,chr17,chr07,chr08,chr12,chr16,chr11,chr21,chr30,chr31,chr18,chr22,chr28,chr33,chr23,chr32,chr26,chr34 | chr19,chr24,chr20,chr25
drSorDevo1	2	6,28	1.0430	1.0000	6.05	chr01,chr02,chr27,chr29,chr10,chr15 | chr03,chr09,chr04,chr05,chr06,chr14,chr13,chr17,chr07,chr08,chr12,chr16,chr11,chr21,chr30,chr31,chr18,chr22,chr28,chr33,chr23,chr32,chr26,chr34,chr19,chr24,chr20,chr25
drTriDubi3	7	2,2,2,2,2,2,3	1.6546	1.0043	9.77	chr01,chr05 | chr02,chr12 | chr03,chr13,chr15 | chr04,chr11 | chr06,chr08 | chr07,chr09 | chr10,chr14
drTriDubi3	6	2,2,2,2,3,4	1.4336	1.0010	7.79	chr01,chr05,chr04,chr11 | chr02,chr12 | chr03,chr13,chr15 | chr06,chr08 | chr07,chr09 | chr10,chr14
drTriDubi3	5	2,2,2,3,6	1.2768	1.0034	6.72	chr01,chr05,chr04,chr11,chr06,chr08 | chr02,chr12 | chr03,chr13,chr15 | chr07,chr09 | chr10,chr14
drTriDubi3	4	2,2,5,6	1.2300	1.0008	5.41	chr01,chr05,chr04,chr11,chr06,chr08 | chr02,chr12,chr03,chr13,chr15 | chr07,chr09 | chr10,chr14
drTriDubi3	3	2,5,8	1.1789	1.0030	4.64	chr01,chr05,chr04,chr11,chr06,chr08,chr07,chr09 | chr02,chr12,chr03,chr13,chr15 | chr10,chr14
drTriDubi3	2	2,13	1.1109	0.9992	3.58	chr01,chr05,chr04,chr11,chr06,chr08,chr07,chr09,chr02,chr12,chr03,chr13,chr15 | chr10,chr14
drTriRepe1	8	2,2,2,2,2,2,2,2	1.7319	1.0001	15.64	chr01,chr16 | chr02,chr15 | chr03,chr04 | chr05,chr11 | chr06,chr09 | chr07,chr08 | chr10,chr13 | chr12,chr14
drTriRepe1	7	2,2,2,2,2,2,4	1.4257	1.0014	10.82	chr01,chr16,chr07,chr08 | chr02,chr15 | chr03,chr04 | chr05,chr11 | chr06,chr09 | chr10,chr13 | chr12,chr14
drTriRepe1	6	2,2,2,2,2,6	1.2416	1.0019	8.39	chr01,chr16,chr07,chr08,chr10,chr13 | chr02,chr15 | chr03,chr04 | chr05,chr11 | chr06,chr09 | chr12,chr14
drTriRepe1	5	2,2,2,2,8	1.1528	1.0009	6.82	chr01,chr16,chr07,chr08,chr10,chr13,chr12,chr14 | chr02,chr15 | chr03,chr04 | chr05,chr11 | chr06,chr09
drTriRepe1	4	2,2,2,10	1.1041	1.0014	6.32	chr01,chr16,chr07,chr08,chr10,chr13,chr12,chr14,chr02,chr15 | chr03,chr04 | chr05,chr11 | chr06,chr09
drTriRepe1	3	2,2,12	1.0742	1.0006	4.99	chr01,chr16,chr07,chr08,chr10,chr13,chr12,chr14,chr02,chr15,chr05,chr11 | chr03,chr04 | chr06,chr09
drTriRepe1	2	2,14	1.0556	1.0007	3.39	chr01,chr16,chr07,chr08,chr10,chr13,chr12,chr14,chr02,chr15,chr05,chr11,chr03,chr04 | chr06,chr09
laPotCris1	12	2,2,2,2,2,2,2,2,2,2,3,3	1.2582	1.0011	16.65	chr01,chr22,chr24 | chr02,chr10 | chr03,chr04 | chr05,chr09,chr21 | chr06,chr07 | chr08,chr14 | chr11,chr12 | chr13,chr20 | chr15,chr16 | chr17,chr23 | chr18,chr26 | chr19,chr25
laPotCris1	11	2,2,2,2,2,2,2,2,3,3,4	1.2109	1.0000	15.31	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04 | chr05,chr09,chr21 | chr06,chr07 | chr08,chr14 | chr11,chr12 | chr13,chr20 | chr15,chr16 | chr18,chr26 | chr19,chr25
laPotCris1	10	2,2,2,2,2,2,3,3,4,4	1.1793	1.0004	14.67	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04 | chr05,chr09,chr21 | chr06,chr07,chr11,chr12 | chr08,chr14 | chr13,chr20 | chr15,chr16 | chr18,chr26 | chr19,chr25
laPotCris1	9	2,2,2,2,3,3,4,4,4	1.1568	1.0001	14.06	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04 | chr05,chr09,chr21 | chr06,chr07,chr11,chr12 | chr08,chr14,chr15,chr16 | chr13,chr20 | chr18,chr26 | chr19,chr25
laPotCris1	8	2,2,2,2,3,3,4,8	1.1110	1.0005	10.33	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04 | chr05,chr09,chr21 | chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16 | chr13,chr20 | chr18,chr26 | chr19,chr25
laPotCris1	7	2,2,2,3,4,5,8	1.1012	1.0009	10.10	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04 | chr05,chr09,chr21,chr19,chr25 | chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16 | chr13,chr20 | chr18,chr26
laPotCris1	6	2,2,3,4,5,10	1.0837	0.9997	8.79	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04,chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16 | chr05,chr09,chr21,chr19,chr25 | chr13,chr20 | chr18,chr26
laPotCris1	5	2,3,4,7,10	1.0747	1.0007	8.67	chr01,chr22,chr24 | chr02,chr10,chr17,chr23 | chr03,chr04,chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16 | chr05,chr09,chr21,chr19,chr25,chr13,chr20 | chr18,chr26
laPotCris1	4	2,3,7,14	1.0552	0.9998	6.42	chr01,chr22,chr24 | chr02,chr10,chr17,chr23,chr03,chr04,chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16 | chr05,chr09,chr21,chr19,chr25,chr13,chr20 | chr18,chr26
laPotCris1	3	2,3,21	1.0479	0.9997	4.68	chr01,chr22,chr24 | chr02,chr10,chr17,chr23,chr03,chr04,chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16,chr05,chr09,chr21,chr19,chr25,chr13,chr20 | chr18,chr26
laPotCris1	2	2,24	1.0594	1.0011	3.79	chr01,chr22,chr24,chr02,chr10,chr17,chr23,chr03,chr04,chr06,chr07,chr11,chr12,chr08,chr14,chr15,chr16,chr05,chr09,chr21,chr19,chr25,chr13,chr20 | chr18,chr26
laPotLuce1	10	2,2,2,2,2,2,2,2,5,5	1.1938	0.9996	14.31	chr01,chr06,chr22,chr16,chr20 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr04,chr05 | chr08,chr10 | chr09,chr11 | chr13,chr14 | chr15,chr18 | chr17,chr26 | chr23,chr25
laPotLuce1	9	2,2,2,2,2,2,2,5,7	1.1455	1.0002	12.40	chr01,chr06,chr22,chr16,chr20,chr09,chr11 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr04,chr05 | chr08,chr10 | chr13,chr14 | chr15,chr18 | chr17,chr26 | chr23,chr25
laPotLuce1	8	2,2,2,2,2,4,5,7	1.1325	0.9992	12.29	chr01,chr06,chr22,chr16,chr20,chr09,chr11 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr04,chr05,chr08,chr10 | chr13,chr14 | chr15,chr18 | chr17,chr26 | chr23,chr25
laPotLuce1	7	2,2,2,2,2,5,11	1.0858	1.0001	9.08	chr01,chr06,chr22,chr16,chr20,chr09,chr11,chr04,chr05,chr08,chr10 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr13,chr14 | chr15,chr18 | chr17,chr26 | chr23,chr25
laPotLuce1	6	2,2,2,4,5,11	1.0822	0.9996	8.57	chr01,chr06,chr22,chr16,chr20,chr09,chr11,chr04,chr05,chr08,chr10 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr13,chr14 | chr15,chr18,chr17,chr26 | chr23,chr25
laPotLuce1	5	2,2,4,5,13	1.0677	0.9999	7.73	chr01,chr06,chr22,chr16,chr20,chr09,chr11,chr04,chr05,chr08,chr10,chr13,chr14 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr15,chr18,chr17,chr26 | chr23,chr25
laPotLuce1	4	2,5,6,13	1.0633	1.0005	7.48	chr01,chr06,chr22,chr16,chr20,chr09,chr11,chr04,chr05,chr08,chr10,chr13,chr14 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24 | chr15,chr18,chr17,chr26,chr23,chr25
laPotLuce1	3	2,5,19	1.0409	1.0005	4.85	chr01,chr06,chr22,chr16,chr20,chr09,chr11,chr04,chr05,chr08,chr10,chr13,chr14,chr15,chr18,chr17,chr26,chr23,chr25 | chr02,chr07 | chr03,chr12,chr19,chr21,chr24
laPotLuce1	2	2,24	1.0325	1.0002	2.46	chr01,chr06,chr22,chr16,chr20,chr09,chr11,chr04,chr05,chr08,chr10,chr13,chr14,chr15,chr18,chr17,chr26,chr23,chr25,chr03,chr12,chr19,chr21,chr24 | chr02,chr07
laPotNata1	12	2,2,2,2,2,2,2,2,2,2,2,3	1.4434	1.0010	19.32	chr01,chr03,chr15 | chr02,chr07 | chr04,chr05 | chr06,chr12 | chr08,chr14 | chr09,chr11 | chr10,chr16 | chr13,chr20 | chr17,chr22 | chr18,chr25 | chr19,chr23 | chr21,chr24
laPotNata1	11	2,2,2,2,2,2,2,2,2,3,4	1.3579	1.0001	18.87	chr01,chr03,chr15 | chr02,chr07 | chr04,chr05 | chr06,chr12 | chr08,chr14 | chr09,chr11 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr17,chr22 | chr18,chr25 | chr19,chr23
laPotNata1	10	2,2,2,2,2,2,2,2,4,5	1.2680	1.0013	15.48	chr01,chr03,chr15,chr17,chr22 | chr02,chr07 | chr04,chr05 | chr06,chr12 | chr08,chr14 | chr09,chr11 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25 | chr19,chr23
laPotNata1	9	2,2,2,2,2,2,4,4,5	1.2285	0.9999	15.17	chr01,chr03,chr15,chr17,chr22 | chr02,chr07 | chr04,chr05,chr08,chr14 | chr06,chr12 | chr09,chr11 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25 | chr19,chr23
laPotNata1	8	2,2,2,2,2,2,4,9	1.1385	1.0002	10.98	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14 | chr02,chr07 | chr06,chr12 | chr09,chr11 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25 | chr19,chr23
laPotNata1	7	2,2,2,2,2,4,11	1.1060	1.0010	9.32	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14,chr06,chr12 | chr02,chr07 | chr09,chr11 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25 | chr19,chr23
laPotNata1	6	2,2,2,2,4,13	1.0860	1.0004	8.50	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14,chr06,chr12,chr09,chr11 | chr02,chr07 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25 | chr19,chr23
laPotNata1	5	2,2,4,4,13	1.0829	1.0003	8.30	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14,chr06,chr12,chr09,chr11 | chr02,chr07 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25,chr19,chr23
laPotNata1	4	2,4,4,15	1.0683	0.9994	7.23	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14,chr06,chr12,chr09,chr11,chr02,chr07 | chr10,chr16,chr21,chr24 | chr13,chr20 | chr18,chr25,chr19,chr23
laPotNata1	3	2,8,15	1.0606	0.9997	6.62	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14,chr06,chr12,chr09,chr11,chr02,chr07 | chr10,chr16,chr21,chr24,chr18,chr25,chr19,chr23 | chr13,chr20
laPotNata1	2	2,23	1.0414	0.9998	3.32	chr01,chr03,chr15,chr17,chr22,chr04,chr05,chr08,chr14,chr06,chr12,chr09,chr11,chr02,chr07,chr10,chr16,chr21,chr24,chr18,chr25,chr19,chr23 | chr13,chr20
laPotNodo1	13	2,2,2,2,2,2,2,2,2,2,2,2,2	1.3195	1.0014	18.22	chr01,chr05 | chr02,chr04 | chr03,chr17 | chr06,chr14 | chr07,chr25 | chr08,chr20 | chr09,chr10 | chr11,chr19 | chr12,chr16 | chr13,chr15 | chr18,chr23 | chr21,chr24 | chr22,chr26
laPotNodo1	12	2,2,2,2,2,2,2,2,2,2,2,4	1.2511	1.0001	17.29	chr01,chr05 | chr02,chr04 | chr03,chr17,chr11,chr19 | chr06,chr14 | chr07,chr25 | chr08,chr20 | chr09,chr10 | chr12,chr16 | chr13,chr15 | chr18,chr23 | chr21,chr24 | chr22,chr26
laPotNodo1	11	2,2,2,2,2,2,2,2,2,4,4	1.2093	1.0000	15.44	chr01,chr05 | chr02,chr04 | chr03,chr17,chr11,chr19 | chr06,chr14 | chr07,chr25 | chr08,chr20 | chr09,chr10 | chr12,chr16,chr22,chr26 | chr13,chr15 | chr18,chr23 | chr21,chr24
laPotNodo1	10	2,2,2,2,2,2,2,2,4,6	1.1562	0.9989	12.54	chr01,chr05 | chr02,chr04 | chr03,chr17,chr11,chr19,chr08,chr20 | chr06,chr14 | chr07,chr25 | chr09,chr10 | chr12,chr16,chr22,chr26 | chr13,chr15 | chr18,chr23 | chr21,chr24
laPotNodo1	9	2,2,2,2,2,2,4,4,6	1.1401	0.9994	11.48	chr01,chr05 | chr02,chr04,chr09,chr10 | chr03,chr17,chr11,chr19,chr08,chr20 | chr06,chr14 | chr07,chr25 | chr12,chr16,chr22,chr26 | chr13,chr15 | chr18,chr23 | chr21,chr24
laPotNodo1	8	2,2,2,2,2,4,4,8	1.1096	0.9998	10.16	chr01,chr05 | chr02,chr04,chr09,chr10 | chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15 | chr06,chr14 | chr07,chr25 | chr12,chr16,chr22,chr26 | chr18,chr23 | chr21,chr24
laPotNodo1	7	2,2,2,2,2,4,12	1.0761	1.0005	7.40	chr01,chr05 | chr02,chr04,chr09,chr10,chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15 | chr06,chr14 | chr07,chr25 | chr12,chr16,chr22,chr26 | chr18,chr23 | chr21,chr24
laPotNodo1	6	2,2,2,2,4,14	1.0668	0.9999	6.73	chr01,chr05 | chr02,chr04,chr09,chr10,chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15,chr06,chr14 | chr07,chr25 | chr12,chr16,chr22,chr26 | chr18,chr23 | chr21,chr24
laPotNodo1	5	2,2,2,4,16	1.0603	0.9999	6.32	chr01,chr05 | chr02,chr04,chr09,chr10,chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15,chr06,chr14,chr18,chr23 | chr07,chr25 | chr12,chr16,chr22,chr26 | chr21,chr24
laPotNodo1	4	2,2,4,18	1.0539	1.0004	5.51	chr01,chr05 | chr02,chr04,chr09,chr10,chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15,chr06,chr14,chr18,chr23,chr07,chr25 | chr12,chr16,chr22,chr26 | chr21,chr24
laPotNodo1	3	2,4,20	1.0475	1.0000	4.57	chr01,chr05 | chr02,chr04,chr09,chr10,chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15,chr06,chr14,chr18,chr23,chr07,chr25,chr21,chr24 | chr12,chr16,chr22,chr26
laPotNodo1	2	2,24	1.0375	1.0011	2.26	chr01,chr05 | chr02,chr04,chr09,chr10,chr03,chr17,chr11,chr19,chr08,chr20,chr13,chr15,chr06,chr14,chr18,chr23,chr07,chr25,chr21,chr24,chr12,chr16,chr22,chr26
laPotPerf1	13	2,2,2,2,2,2,2,2,2,2,2,2,2	1.3094	1.0011	18.45	chr01,chr06 | chr02,chr04 | chr03,chr13 | chr05,chr08 | chr07,chr17 | chr09,chr24 | chr10,chr20 | chr11,chr16 | chr12,chr14 | chr15,chr26 | chr18,chr22 | chr19,chr23 | chr21,chr25
laPotPerf1	12	2,2,2,2,2,2,2,2,2,2,2,4	1.2452	1.0004	17.37	chr01,chr06 | chr02,chr04 | chr03,chr13,chr10,chr20 | chr05,chr08 | chr07,chr17 | chr09,chr24 | chr11,chr16 | chr12,chr14 | chr15,chr26 | chr18,chr22 | chr19,chr23 | chr21,chr25
laPotPerf1	11	2,2,2,2,2,2,2,2,2,4,4	1.2059	1.0007	15.58	chr01,chr06 | chr02,chr04 | chr03,chr13,chr10,chr20 | chr05,chr08 | chr07,chr17 | chr09,chr24 | chr11,chr16,chr21,chr25 | chr12,chr14 | chr15,chr26 | chr18,chr22 | chr19,chr23
laPotPerf1	10	2,2,2,2,2,2,2,4,4,4	1.1772	1.0000	14.84	chr01,chr06 | chr02,chr04,chr07,chr17 | chr03,chr13,chr10,chr20 | chr05,chr08 | chr09,chr24 | chr11,chr16,chr21,chr25 | chr12,chr14 | chr15,chr26 | chr18,chr22 | chr19,chr23
laPotPerf1	9	2,2,2,2,2,2,2,4,8	1.1201	1.0005	10.79	chr01,chr06 | chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20 | chr05,chr08 | chr09,chr24 | chr11,chr16,chr21,chr25 | chr12,chr14 | chr15,chr26 | chr18,chr22 | chr19,chr23
laPotPerf1	8	2,2,2,2,2,2,4,10	1.0921	0.9994	9.44	chr01,chr06 | chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14 | chr05,chr08 | chr09,chr24 | chr11,chr16,chr21,chr25 | chr15,chr26 | chr18,chr22 | chr19,chr23
laPotPerf1	7	2,2,2,2,2,4,12	1.0738	0.9997	7.87	chr01,chr06 | chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14,chr05,chr08 | chr09,chr24 | chr11,chr16,chr21,chr25 | chr15,chr26 | chr18,chr22 | chr19,chr23
laPotPerf1	5	2,2,4,4,14	1.0596	1.0003	6.93	chr01,chr06 | chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14,chr05,chr08,chr09,chr24 | chr11,chr16,chr21,chr25 | chr15,chr26 | chr18,chr22,chr19,chr23
laPotPerf1	6	2,2,2,2,4,14	1.0612	0.9998	6.72	chr01,chr06 | chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14,chr05,chr08,chr09,chr24 | chr11,chr16,chr21,chr25 | chr15,chr26 | chr18,chr22 | chr19,chr23
laPotPerf1	4	2,4,4,16	1.0505	1.0004	6.18	chr01,chr06,chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14,chr05,chr08,chr09,chr24 | chr11,chr16,chr21,chr25 | chr15,chr26 | chr18,chr22,chr19,chr23
laPotPerf1	3	2,4,20	1.0383	0.9993	4.78	chr01,chr06,chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14,chr05,chr08,chr09,chr24,chr18,chr22,chr19,chr23 | chr11,chr16,chr21,chr25 | chr15,chr26
laPotPerf1	2	4,22	1.0330	1.0003	3.25	chr01,chr06,chr02,chr04,chr07,chr17,chr03,chr13,chr10,chr20,chr12,chr14,chr05,chr08,chr09,chr24,chr18,chr22,chr19,chr23,chr15,chr26 | chr11,chr16,chr21,chr25
llColAutu1	9	4,5,5,6,6,6,6,6,7	1.1802	1.0001	24.30	chr01,chr03,chr08,chr09,chr07,chr14 | chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43 | chr18,chr28,chr27,chr37,chr41,chr50 | chr19,chr31,chr40,chr45,chr20,chr44,chr48 | chr21,chr32,chr29,chr36,chr49 | chr22,chr39,chr38,chr46,chr51
llColAutu1	10	3,4,4,5,5,6,6,6,6,6	1.1954	1.0003	23.22	chr01,chr03,chr08,chr09,chr07,chr14 | chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43 | chr18,chr28,chr27,chr37,chr41,chr50 | chr19,chr31,chr40,chr45 | chr20,chr44,chr48 | chr21,chr32,chr29,chr36,chr49 | chr22,chr39,chr38,chr46,chr51
llColAutu1	8	4,5,5,6,6,6,7,12	1.1454	0.9996	20.30	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43 | chr18,chr28,chr27,chr37,chr41,chr50 | chr19,chr31,chr40,chr45,chr20,chr44,chr48 | chr21,chr32,chr29,chr36,chr49 | chr22,chr39,chr38,chr46,chr51
