,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr09,HAP2_chr10,HAP2_chr12,HAP2_chr13,HAP2_chr17,HAP2_chr18,HAP2_chr21,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr22,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr09,HAP4_chr10,HAP4_chr12,HAP4_chr13,HAP4_chr17,HAP4_chr18,HAP4_chr21,HAP4_chr24,HAP4_chr25
HAP2_chr07,0.128148,0.130166,0.123328,0.126495,0.125248,0.131119,0.015993,0.130250,0.128337,0.137835,0.133585,0.134711,0.135265,0.135321,0.131300,0.128226,0.133629,0.125296,0.126278,0.130356,0.136583,0.121775,0.132507,0.136529,0.133667,0.126657,0.127137,0.123867,0.124384,0.130169,0.000000,0.128254,0.139713,0.133137,0.136780,0.134863,0.125974,0.132951,0.136000,0.133234,0.125388,0.128714,0.124737,0.126541,0.125337,0.130089,0.016014,0.132502,0.129375,0.139437,0.133322,0.133834,0.136163,0.134509,0.130775,0.127770,0.134323,0.125578,0.126533,0.131431,0.133691,0.126258,0.132581,0.135081,0.135135,0.126740,0.127735,0.124210,0.124578,0.130809,0.016334,0.129365,0.139205,0.133939,0.135252,0.131601,0.126833,0.131737,0.135532,0.133330
HAP2_chr09,0.130130,0.131502,0.126003,0.127649,0.128145,0.132354,0.127940,0.132034,0.017107,0.137918,0.134276,0.134225,0.136212,0.135255,0.130950,0.129987,0.133476,0.127472,0.127696,0.131388,0.135391,0.124429,0.132973,0.135687,0.133703,0.127144,0.130679,0.127067,0.128378,0.130959,0.128254,0.000000,0.138750,0.132927,0.137613,0.134996,0.126852,0.132801,0.135147,0.133187,0.126380,0.129994,0.128147,0.127567,0.127768,0.132035,0.128163,0.132949,0.017225,0.139008,0.133093,0.133545,0.137242,0.136206,0.131320,0.129199,0.135032,0.127429,0.127423,0.132615,0.134109,0.127194,0.132128,0.135150,0.134699,0.126682,0.129345,0.127592,0.127868,0.131761,0.127219,0.017003,0.140401,0.133777,0.135809,0.133521,0.128229,0.132981,0.134965,0.133218
HAP2_chr10,0.139560,0.138297,0.136249,0.137672,0.137712,0.140065,0.139759,0.139571,0.138273,0.015675,0.141018,0.140591,0.141081,0.140119,0.138351,0.139269,0.139226,0.137740,0.135533,0.138823,0.141354,0.134418,0.137609,0.141851,0.137423,0.139612,0.137625,0.136555,0.139131,0.140258,0.139713,0.138750,0.000000,0.139486,0.140954,0.141026,0.137430,0.139216,0.140653,0.137706,0.138440,0.138445,0.137922,0.137132,0.138316,0.139674,0.139805,0.139580,0.139785,0.016750,0.138823,0.140604,0.141147,0.141222,0.137913,0.139527,0.141501,0.138055,0.135712,0.139472,0.139601,0.134436,0.138216,0.140652,0.138108,0.138412,0.137042,0.137610,0.137601,0.139897,0.138809,0.139262,0.016765,0.140132,0.139301,0.139094,0.137799,0.138925,0.141141,0.136524
HAP2_chr12,0.134096,0.133832,0.131469,0.131056,0.131929,0.135006,0.133401,0.135793,0.133428,0.140734,0.137301,0.016485,0.138706,0.137459,0.133661,0.133684,0.136285,0.130788,0.130036,0.134954,0.137226,0.128489,0.133400,0.136946,0.135412,0.133476,0.132948,0.130886,0.132066,0.134192,0.133137,0.132927,0.139486,0.000000,0.139250,0.136709,0.131755,0.134443,0.136323,0.136174,0.132083,0.133523,0.132100,0.131101,0.132299,0.134479,0.133384,0.135688,0.134135,0.139742,0.135796,0.017287,0.139044,0.138265,0.132824,0.132903,0.137887,0.132664,0.131469,0.135270,0.135578,0.130197,0.134793,0.137166,0.135424,0.133128,0.133100,0.131396,0.133466,0.134882,0.133334,0.134354,0.139707,0.016552,0.137219,0.135031,0.131911,0.134021,0.137210,0.135377
HAP2_chr13,0.137699,0.137533,0.136158,0.135593,0.135522,0.138289,0.137231,0.136688,0.137308,0.139892,0.139999,0.140350,0.014567,0.139826,0.137858,0.137643,0.139378,0.135983,0.133502,0.136898,0.139609,0.132106,0.138467,0.140804,0.138995,0.137148,0.135129,0.135858,0.135187,0.138631,0.136780,0.137613,0.140954,0.139250,0.000000,0.139188,0.135997,0.138976,0.140804,0.138975,0.135465,0.136837,0.137260,0.135636,0.136434,0.138220,0.137670,0.138709,0.137653,0.142064,0.137927,0.138887,0.015043,0.139913,0.136894,0.136477,0.138314,0.134989,0.134345,0.137677,0.138502,0.133951,0.137158,0.140643,0.139611,0.136892,0.135614,0.135080,0.135949,0.138330,0.137258,0.137476,0.139672,0.138701,0.014877,0.137009,0.136929,0.138022,0.140277,0.137103
HAP2_chr17,0.134987,0.135695,0.131455,0.131995,0.132449,0.135098,0.134487,0.135155,0.134081,0.140115,0.137547,0.137310,0.138796,0.138502,0.133759,0.133631,0.017705,0.133572,0.132487,0.134364,0.138082,0.129370,0.134600,0.139057,0.137735,0.134142,0.133439,0.133310,0.133252,0.133892,0.134863,0.134996,0.141026,0.136709,0.139188,0.000000,0.132522,0.135609,0.137087,0.136194,0.132146,0.134756,0.132819,0.132047,0.133806,0.134290,0.134593,0.135885,0.135199,0.141136,0.135716,0.137279,0.138837,0.137500,0.134940,0.133730,0.016119,0.133371,0.132086,0.135149,0.136943,0.130793,0.134928,0.137498,0.136855,0.133130,0.133423,0.131493,0.133836,0.134407,0.134845,0.133853,0.140550,0.136904,0.137532,0.018213,0.133210,0.135054,0.138317,0.134448
HAP2_chr18,0.127487,0.128709,0.123836,0.124784,0.126825,0.129511,0.126486,0.124479,0.127402,0.136399,0.132561,0.131926,0.134228,0.132857,0.128665,0.126943,0.131367,0.018607,0.126161,0.129585,0.133317,0.121340,0.131072,0.133138,0.131534,0.126543,0.127285,0.125237,0.126233,0.128462,0.125974,0.126852,0.137430,0.131755,0.135997,0.132522,0.000000,0.130767,0.132773,0.130959,0.125847,0.128099,0.125010,0.124496,0.125753,0.128891,0.126172,0.130150,0.129120,0.136729,0.131242,0.132205,0.135069,0.133528,0.127695,0.127035,0.132667,0.018979,0.125810,0.129601,0.131447,0.123602,0.130007,0.133038,0.131894,0.125904,0.125970,0.124058,0.126367,0.128628,0.126345,0.129247,0.138312,0.132560,0.133505,0.129901,0.017878,0.129804,0.132998,0.129682
HAP2_chr21,0.133448,0.133279,0.130736,0.130043,0.131319,0.134270,0.132840,0.133948,0.132320,0.138879,0.135330,0.135641,0.137717,0.135808,0.131993,0.132372,0.134946,0.131229,0.129968,0.133922,0.018018,0.127534,0.132921,0.137144,0.133920,0.132134,0.131905,0.131759,0.130871,0.134018,0.132951,0.132801,0.139216,0.134443,0.138976,0.135609,0.130767,0.000000,0.136671,0.134263,0.131882,0.132231,0.131641,0.129929,0.131044,0.133912,0.132694,0.133891,0.132925,0.139940,0.135004,0.134896,0.137796,0.136117,0.132938,0.131820,0.137093,0.130646,0.129418,0.133760,0.018707,0.128786,0.133135,0.136587,0.134227,0.131697,0.131812,0.130501,0.131663,0.133625,0.132854,0.132997,0.139858,0.136229,0.136730,0.133341,0.130749,0.017632,0.135585,0.133158
HAP2_chr24,0.136513,0.134287,0.133188,0.131885,0.134779,0.136921,0.135295,0.135870,0.135042,0.140426,0.137602,0.137430,0.139005,0.137566,0.134219,0.134507,0.137597,0.133077,0.133010,0.136171,0.137942,0.131439,0.136060,0.016926,0.136398,0.135761,0.133693,0.135089,0.135214,0.135967,0.136000,0.135147,0.140653,0.136323,0.140804,0.137087,0.132773,0.136671,0.000000,0.136892,0.134024,0.135433,0.134318,0.131485,0.135097,0.136006,0.135677,0.135078,0.136133,0.140804,0.136518,0.136678,0.139444,0.138256,0.134804,0.134138,0.137264,0.132991,0.132813,0.136683,0.137082,0.131959,0.136444,0.017103,0.136544,0.134699,0.134234,0.133908,0.135786,0.136193,0.136040,0.135472,0.139731,0.136771,0.138471,0.135508,0.133129,0.135462,0.017428,0.134875
HAP2_chr25,0.133802,0.134183,0.130207,0.129423,0.132638,0.135142,0.133773,0.133793,0.132767,0.136397,0.134487,0.135880,0.136868,0.136705,0.132475,0.132466,0.134280,0.131146,0.130844,0.132745,0.135819,0.126726,0.133830,0.136061,0.017260,0.133637,0.131022,0.130174,0.132724,0.135002,0.133234,0.133187,0.137706,0.136174,0.138975,0.136194,0.130959,0.134263,0.136892,0.000000,0.132701,0.133200,0.131449,0.130314,0.132627,0.134815,0.134295,0.134411,0.134898,0.137138,0.133943,0.135674,0.138456,0.137697,0.133115,0.132481,0.136766,0.131172,0.131242,0.133472,0.134259,0.127926,0.133322,0.137532,0.017405,0.133508,0.131442,0.131153,0.132191,0.134815,0.133340,0.134126,0.137747,0.135632,0.136787,0.135856,0.132181,0.134364,0.136438,0.017040
HAP3_chr01,0.018483,0.129418,0.124126,0.125879,0.126049,0.130308,0.126423,0.130702,0.128278,0.137477,0.133482,0.133591,0.134641,0.133611,0.129747,0.128228,0.130761,0.126275,0.125756,0.129862,0.135350,0.121997,0.130814,0.134803,0.133581,0.018941,0.127803,0.125573,0.125403,0.129680,0.125388,0.126380,0.138440,0.132083,0.135465,0.132146,0.125847,0.131882,0.134024,0.132701,0.000000,0.129157,0.125650,0.125752,0.126088,0.130629,0.126737,0.131218,0.129166,0.139012,0.131518,0.132674,0.135105,0.133950,0.129198,0.127287,0.132905,0.125835,0.126177,0.131134,0.132312,0.124690,0.131608,0.134653,0.133910,0.017677,0.128413,0.124792,0.125639,0.129373,0.125929,0.129032,0.137766,0.132431,0.133386,0.130109,0.126885,0.130645,0.133587,0.131472
HAP3_chr02,0.129533,0.017437,0.125715,0.128246,0.125729,0.132333,0.129414,0.131868,0.129784,0.136811,0.133993,0.133803,0.134717,0.134303,0.131122,0.128799,0.133523,0.127226,0.126915,0.130948,0.135634,0.124410,0.132205,0.135192,0.129568,0.129836,0.016701,0.126603,0.125415,0.132120,0.128714,0.129994,0.138445,0.133523,0.136837,0.134756,0.128099,0.132231,0.135433,0.133200,0.129157,0.000000,0.127793,0.127942,0.125573,0.130990,0.127022,0.131982,0.130803,0.138526,0.133071,0.133386,0.135728,0.133690,0.131349,0.129388,0.134922,0.127284,0.126865,0.131201,0.134351,0.126431,0.131434,0.135682,0.133365,0.129310,0.016983,0.126023,0.125999,0.131340,0.128390,0.130115,0.138719,0.134311,0.134498,0.132102,0.127565,0.132538,0.134406,0.131909
HAP3_chr03,0.127696,0.129720,0.016999,0.124269,0.125271,0.130659,0.125112,0.130132,0.127786,0.135709,0.131912,0.133753,0.134683,0.133234,0.129717,0.128307,0.129741,0.125506,0.125456,0.129694,0.135314,0.120510,0.130766,0.135079,0.130642,0.127364,0.126130,0.018731,0.124753,0.129866,0.124737,0.128147,0.137922,0.132100,0.137260,0.132819,0.125010,0.131641,0.134318,0.131449,0.125650,0.127793,0.000000,0.123666,0.124350,0.129913,0.124193,0.130814,0.129119,0.137536,0.130849,0.133897,0.135653,0.133336,0.129135,0.128044,0.133100,0.126784,0.125872,0.129953,0.132926,0.123274,0.129454,0.135084,0.132241,0.126478,0.126107,0.018443,0.124637,0.129173,0.125039,0.129162,0.138325,0.133719,0.133976,0.129219,0.125348,0.130903,0.133857,0.130634
HAP3_chr04,0.128338,0.129229,0.122293,0.010849,0.126813,0.130873,0.126571,0.127927,0.127793,0.134092,0.128045,0.132911,0.134224,0.131952,0.127796,0.126898,0.129999,0.125051,0.125414,0.128292,0.132344,0.119622,0.127764,0.133152,0.130608,0.127994,0.126635,0.122805,0.126642,0.130010,0.126541,0.127567,0.137132,0.131101,0.135636,0.132047,0.124496,0.129929,0.131485,0.130314,0.125752,0.127942,0.123666,0.000000,0.126743,0.129612,0.126946,0.128797,0.128500,0.136182,0.127779,0.131370,0.134909,0.131932,0.128126,0.127007,0.133268,0.122596,0.126052,0.129425,0.131975,0.120699,0.126812,0.132758,0.131427,0.127100,0.127644,0.123091,0.126878,0.129192,0.125817,0.128331,0.136098,0.131687,0.133271,0.127681,0.122853,0.129310,0.131503,0.129052
HAP3_chr05,0.128109,0.128891,0.122418,0.127095,0.016148,0.130579,0.125890,0.130601,0.128158,0.136895,0.133634,0.133196,0.135098,0.133703,0.130219,0.128147,0.131530,0.125534,0.125278,0.128397,0.135303,0.123055,0.130898,0.134980,0.129322,0.127574,0.124186,0.123965,0.015631,0.129178,0.125337,0.127768,0.138316,0.132299,0.136434,0.133806,0.125753,0.131044,0.135097,0.132627,0.126088,0.125573,0.124350,0.126743,0.000000,0.129595,0.123264,0.131641,0.128631,0.138963,0.132369,0.132403,0.135595,0.134363,0.130013,0.127347,0.133541,0.125326,0.125648,0.130322,0.132750,0.125749,0.131082,0.135217,0.133437,0.126907,0.124010,0.124511,0.015214,0.129997,0.125142,0.129142,0.138046,0.131916,0.134027,0.130654,0.126451,0.131555,0.134763,0.131624
HAP3_chr06,0.132335,0.131807,0.127926,0.128882,0.129165,0.015294,0.130007,0.132831,0.131687,0.138112,0.134766,0.135940,0.135811,0.135420,0.132377,0.131029,0.132657,0.129374,0.128925,0.133010,0.136147,0.126253,0.132851,0.136360,0.135300,0.130726,0.129790,0.128561,0.128254,0.015667,0.130089,0.132035,0.139674,0.134479,0.138220,0.134290,0.128891,0.133912,0.136006,0.134815,0.130629,0.130990,0.129913,0.129612,0.129595,0.000000,0.130335,0.133239,0.132222,0.140597,0.133869,0.135354,0.137251,0.136255,0.132182,0.131200,0.133876,0.129350,0.129292,0.133078,0.134209,0.128300,0.132691,0.137194,0.134497,0.130330,0.129317,0.128776,0.129450,0.015661,0.129958,0.132281,0.138862,0.134990,0.136037,0.132062,0.129987,0.133220,0.136023,0.134077
HAP3_chr07,0.128446,0.130282,0.123201,0.127276,0.123416,0.131433,0.015799,0.131497,0.129238,0.137627,0.134754,0.134643,0.135841,0.134818,0.130716,0.128799,0.133167,0.125910,0.126870,0.130660,0.136204,0.122442,0.132395,0.135997,0.131381,0.127005,0.125751,0.123793,0.123526,0.130005,0.016014,0.128163,0.139805,0.133384,0.137670,0.134593,0.126172,0.132694,0.135677,0.134295,0.126737,0.127022,0.124193,0.126946,0.123264,0.130335,0.000000,0.132471,0.129911,0.139339,0.134774,0.134637,0.136440,0.135177,0.130788,0.128137,0.135195,0.125774,0.126926,0.131737,0.135070,0.125930,0.132490,0.135375,0.134245,0.126285,0.125196,0.123795,0.123503,0.131126,0.015901,0.129984,0.140302,0.134774,0.135191,0.131335,0.127257,0.133134,0.135397,0.133274
HAP3_chr08,0.132915,0.133137,0.129257,0.128761,0.131465,0.134057,0.132259,0.010091,0.132682,0.138766,0.135895,0.136553,0.135345,0.136341,0.132203,0.131386,0.134970,0.130746,0.129337,0.133111,0.136841,0.127908,0.133259,0.136370,0.135490,0.132155,0.131546,0.130456,0.131271,0.133777,0.132502,0.132949,0.139580,0.135688,0.138709,0.135885,0.130150,0.133891,0.135078,0.134411,0.131218,0.131982,0.130814,0.128797,0.131641,0.133239,0.132471,0.000000,0.133388,0.138994,0.134600,0.135501,0.137677,0.136326,0.133231,0.131380,0.135880,0.130946,0.129692,0.133872,0.134408,0.128741,0.132851,0.136790,0.135128,0.132066,0.131694,0.129326,0.131369,0.134108,0.131977,0.133195,0.139899,0.136446,0.135907,0.133850,0.130812,0.133748,0.136139,0.133690
HAP3_chr09,0.131421,0.132329,0.128520,0.128812,0.129146,0.133278,0.129386,0.132437,0.016637,0.138137,0.134766,0.134591,0.136059,0.135531,0.131757,0.130962,0.134052,0.128689,0.128832,0.131698,0.135816,0.126251,0.133212,0.135607,0.135340,0.129926,0.130757,0.129397,0.129271,0.132467,0.129375,0.017225,0.139785,0.134135,0.137653,0.135199,0.129120,0.132925,0.136133,0.134898,0.129166,0.130803,0.129119,0.128500,0.128631,0.132222,0.129911,0.133388,0.000000,0.140410,0.132964,0.133471,0.137599,0.135718,0.131816,0.129903,0.135360,0.128070,0.128475,0.132777,0.133965,0.128022,0.132156,0.135865,0.135952,0.129812,0.130468,0.128561,0.128638,0.132977,0.129267,0.016082,0.140811,0.134220,0.135499,0.133726,0.129425,0.132821,0.135491,0.133779
HAP3_chr10,0.139976,0.138241,0.136588,0.136401,0.138190,0.139698,0.139803,0.138469,0.139655,0.016407,0.140066,0.140791,0.141637,0.140435,0.137622,0.138418,0.140081,0.138029,0.135509,0.139184,0.140866,0.133778,0.138402,0.141582,0.136566,0.139398,0.137298,0.137136,0.137974,0.139910,0.139437,0.139008,0.016750,0.139742,0.142064,0.141136,0.136729,0.139940,0.140804,0.137138,0.139012,0.138526,0.137536,0.136182,0.138963,0.140597,0.139339,0.138994,0.140410,0.000000,0.139368,0.139622,0.142153,0.140958,0.137459,0.137472,0.139013,0.137271,0.135763,0.138710,0.139188,0.134912,0.138635,0.141245,0.138062,0.138792,0.138170,0.135213,0.138436,0.140152,0.138536,0.139776,0.016719,0.141040,0.141174,0.138030,0.137378,0.139180,0.141266,0.136836
HAP3_chr11,0.133937,0.133395,0.130619,0.128927,0.131419,0.132878,0.133640,0.134349,0.132428,0.137139,0.015034,0.136280,0.136149,0.135713,0.133286,0.133126,0.133277,0.131660,0.131157,0.132532,0.136872,0.126885,0.132984,0.137704,0.135203,0.132757,0.131641,0.130072,0.132026,0.133704,0.133322,0.133093,0.138823,0.135796,0.137927,0.135716,0.131242,0.135004,0.136518,0.133943,0.131518,0.133071,0.130849,0.127779,0.132369,0.133869,0.134774,0.134600,0.132964,0.139368,0.000000,0.134650,0.138065,0.135813,0.133060,0.132321,0.135749,0.130476,0.131090,0.133792,0.133901,0.128508,0.133361,0.136071,0.135237,0.133782,0.131800,0.131134,0.131866,0.133578,0.133040,0.132161,0.138505,0.134551,0.137055,0.133428,0.131573,0.133986,0.136456,0.134107
HAP3_chr12,0.133693,0.134426,0.132757,0.131522,0.132227,0.135492,0.134172,0.135043,0.133740,0.140383,0.136684,0.017241,0.137618,0.137231,0.134583,0.134078,0.136924,0.132266,0.131170,0.133826,0.137191,0.129287,0.135509,0.137265,0.135826,0.133937,0.133208,0.132464,0.132225,0.135055,0.133834,0.133545,0.140604,0.017287,0.138887,0.137279,0.132205,0.134896,0.136678,0.135674,0.132674,0.133386,0.133897,0.131370,0.132403,0.135354,0.134637,0.135501,0.133471,0.139622,0.134650,0.000000,0.139062,0.137144,0.133719,0.132547,0.137060,0.130834,0.130736,0.134573,0.135163,0.130417,0.134911,0.136594,0.136212,0.132967,0.133486,0.132763,0.132805,0.134829,0.133807,0.133562,0.140025,0.017038,0.137751,0.135579,0.132536,0.134638,0.136431,0.134471
HAP3_chr13,0.137305,0.135600,0.134490,0.136051,0.134539,0.137586,0.136890,0.136379,0.136652,0.139984,0.139078,0.139681,0.014697,0.139222,0.137322,0.136644,0.138443,0.136241,0.133018,0.136841,0.140454,0.131970,0.136647,0.140055,0.137973,0.136540,0.134622,0.135107,0.135068,0.138346,0.136163,0.137242,0.141147,0.139044,0.015043,0.138837,0.135069,0.137796,0.139444,0.138456,0.135105,0.135728,0.135653,0.134909,0.135595,0.137251,0.136440,0.137677,0.137599,0.142153,0.138065,0.139062,0.000000,0.139953,0.136666,0.135983,0.137378,0.134222,0.133720,0.136428,0.139127,0.134799,0.137400,0.139464,0.138988,0.135796,0.135464,0.134121,0.134890,0.137180,0.136313,0.137176,0.139505,0.138839,0.014650,0.136679,0.134970,0.137179,0.140345,0.138008
HAP3_chr14,0.135044,0.135351,0.132146,0.133256,0.134339,0.136485,0.135908,0.136014,0.135614,0.139647,0.137530,0.138845,0.139252,0.015466,0.135298,0.135192,0.136502,0.133575,0.133144,0.135866,0.138549,0.130633,0.135681,0.139730,0.136692,0.134662,0.133678,0.133138,0.133916,0.135918,0.134509,0.136206,0.141222,0.138265,0.139913,0.137500,0.133528,0.136117,0.138256,0.137697,0.133950,0.133690,0.133336,0.131932,0.134363,0.136255,0.135177,0.136326,0.135718,0.140958,0.135813,0.137144,0.139953,0.000000,0.136060,0.134873,0.137634,0.133695,0.132243,0.135764,0.137671,0.130946,0.135018,0.138309,0.136954,0.134596,0.134260,0.132943,0.134690,0.135984,0.134523,0.135542,0.139145,0.139546,0.137849,0.134544,0.133362,0.136776,0.138252,0.135665
HAP3_chr15,0.130990,0.132161,0.127273,0.127829,0.130035,0.132469,0.131164,0.131458,0.130960,0.137057,0.134295,0.134382,0.135541,0.135656,0.012658,0.130940,0.132827,0.128814,0.128846,0.131245,0.134082,0.124065,0.132319,0.134687,0.132771,0.130775,0.130175,0.128117,0.130256,0.131839,0.130775,0.131320,0.137913,0.132824,0.136894,0.134940,0.127695,0.132938,0.134804,0.133115,0.129198,0.131349,0.129135,0.128126,0.130013,0.132182,0.130788,0.133231,0.131816,0.137459,0.133060,0.133719,0.136666,0.136060,0.000000,0.130466,0.135349,0.128407,0.128582,0.132193,0.134191,0.126646,0.131704,0.135878,0.132980,0.130525,0.129841,0.127747,0.130602,0.132282,0.130826,0.132179,0.137834,0.133562,0.135092,0.132640,0.130195,0.132496,0.135054,0.132389
HAP3_chr16,0.129941,0.129879,0.125904,0.127313,0.127398,0.131687,0.128069,0.130588,0.129414,0.137302,0.133608,0.133169,0.134338,0.134475,0.129888,0.010444,0.133215,0.126909,0.127010,0.129496,0.134403,0.124555,0.131949,0.134562,0.133060,0.129509,0.127535,0.127285,0.127480,0.130193,0.127770,0.129199,0.139527,0.132903,0.136477,0.133730,0.127035,0.131820,0.134138,0.132481,0.127287,0.129388,0.128044,0.127007,0.127347,0.131200,0.128137,0.131380,0.129903,0.137472,0.132321,0.132547,0.135983,0.134873,0.130466,0.000000,0.133975,0.126283,0.128024,0.131835,0.132402,0.126239,0.131065,0.134358,0.133403,0.128530,0.127738,0.125855,0.127122,0.130558,0.128544,0.129941,0.138268,0.132549,0.135327,0.131427,0.126794,0.130574,0.134233,0.131250
HAP3_chr17,0.135758,0.135076,0.132149,0.133032,0.133194,0.133953,0.134871,0.134496,0.134919,0.138069,0.137642,0.137947,0.138314,0.137904,0.135581,0.133852,0.017728,0.134235,0.131880,0.134427,0.137787,0.129713,0.135765,0.138453,0.137301,0.134792,0.133405,0.132559,0.132970,0.133943,0.134323,0.135032,0.141501,0.137887,0.138314,0.016119,0.132667,0.137093,0.137264,0.136766,0.132905,0.134922,0.133100,0.133268,0.133541,0.133876,0.135195,0.135880,0.135360,0.139013,0.135749,0.137060,0.137378,0.137634,0.135349,0.133975,0.000000,0.132655,0.131803,0.135976,0.136004,0.132220,0.135251,0.137801,0.137309,0.134210,0.134012,0.130775,0.132632,0.134361,0.134654,0.135139,0.137625,0.137484,0.137719,0.017246,0.134294,0.135187,0.138836,0.134442
HAP3_chr18,0.127821,0.128133,0.124465,0.123554,0.126102,0.129732,0.126477,0.127967,0.127639,0.136562,0.132084,0.132014,0.133941,0.133531,0.128892,0.127311,0.132128,0.018211,0.126096,0.128730,0.133810,0.122313,0.130703,0.133295,0.132030,0.126982,0.126706,0.126121,0.125998,0.129669,0.125578,0.127429,0.138055,0.132664,0.134989,0.133371,0.018979,0.130646,0.132991,0.131172,0.125835,0.127284,0.126784,0.122596,0.125326,0.129350,0.125774,0.130946,0.128070,0.137271,0.130476,0.130834,0.134222,0.133695,0.128407,0.126283,0.132655,0.000000,0.126396,0.130302,0.131708,0.124036,0.130680,0.132974,0.132471,0.126334,0.126837,0.125469,0.125467,0.129299,0.126012,0.128827,0.137392,0.131263,0.134022,0.129927,0.017631,0.131048,0.133070,0.130483
HAP3_chr19,0.127713,0.128061,0.124971,0.126095,0.125529,0.129151,0.126561,0.129125,0.127216,0.135704,0.131687,0.131275,0.132918,0.132529,0.128489,0.127905,0.130805,0.126212,0.011207,0.127842,0.132461,0.122118,0.128423,0.133670,0.130524,0.127233,0.127244,0.125819,0.125667,0.129664,0.126533,0.127423,0.135712,0.131469,0.134345,0.132086,0.125810,0.129418,0.132813,0.131242,0.126177,0.126865,0.125872,0.126052,0.125648,0.129292,0.126926,0.129692,0.128475,0.135763,0.131090,0.130736,0.133720,0.132243,0.128582,0.128024,0.131803,0.126396,0.000000,0.128433,0.131111,0.123731,0.129202,0.133027,0.131677,0.126704,0.127253,0.126187,0.125523,0.128918,0.126359,0.127887,0.136581,0.132551,0.132482,0.129816,0.126041,0.130620,0.132718,0.129730
HAP3_chr20,0.131994,0.132948,0.128774,0.129704,0.130426,0.133733,0.131628,0.133478,0.131390,0.138171,0.134269,0.135046,0.136115,0.135719,0.131594,0.131861,0.134793,0.130352,0.128618,0.010465,0.136413,0.126995,0.133033,0.137741,0.133475,0.131376,0.130610,0.129892,0.130138,0.134447,0.131431,0.132615,0.139472,0.135270,0.137677,0.135149,0.129601,0.133760,0.136683,0.133472,0.131134,0.131201,0.129953,0.129425,0.130322,0.133078,0.131737,0.133872,0.132777,0.138710,0.133792,0.134573,0.136428,0.135764,0.132193,0.131835,0.135976,0.130302,0.128433,0.000000,0.135227,0.128520,0.133156,0.136455,0.134170,0.130998,0.131194,0.129022,0.130488,0.133116,0.131258,0.132161,0.138793,0.136338,0.135527,0.133500,0.130109,0.133875,0.136200,0.134024
HAP3_chr21,0.134182,0.134070,0.131822,0.131811,0.132321,0.134630,0.134602,0.133731,0.133611,0.139049,0.135490,0.135787,0.137909,0.136964,0.134403,0.133120,0.134918,0.132838,0.130528,0.133515,0.018834,0.128952,0.135262,0.137425,0.135573,0.133212,0.132650,0.132417,0.133500,0.133656,0.133691,0.134109,0.139601,0.135578,0.138502,0.136943,0.131447,0.018707,0.137082,0.134259,0.132312,0.134351,0.132926,0.131975,0.132750,0.134209,0.135070,0.134408,0.133965,0.139188,0.133901,0.135163,0.139127,0.137671,0.134191,0.132402,0.136004,0.131708,0.131111,0.135227,0.000000,0.130307,0.134368,0.137008,0.136029,0.132946,0.132808,0.132489,0.133279,0.134774,0.133522,0.134700,0.139107,0.134866,0.137576,0.135427,0.132422,0.018487,0.136888,0.134503
HAP3_chr22,0.126957,0.128509,0.122316,0.120672,0.126253,0.129035,0.126255,0.128327,0.127547,0.133660,0.128953,0.131334,0.132836,0.130796,0.127320,0.126446,0.129091,0.125013,0.124161,0.127666,0.131367,0.015031,0.128668,0.131899,0.129265,0.126697,0.126502,0.122556,0.125779,0.128569,0.126258,0.127194,0.134436,0.130197,0.133951,0.130793,0.123602,0.128786,0.131959,0.127926,0.124690,0.126431,0.123274,0.120699,0.125749,0.128300,0.125930,0.128741,0.128022,0.134912,0.128508,0.130417,0.134799,0.130946,0.126646,0.126239,0.132220,0.124036,0.123731,0.128520,0.130307,0.000000,0.125698,0.133350,0.128870,0.125846,0.125527,0.123249,0.126049,0.127968,0.125743,0.128167,0.135149,0.130996,0.131682,0.128426,0.124821,0.127576,0.131238,0.127221
