,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr06,HAP2_chr03,HAP2_chr11,HAP2_chr04,HAP2_chr05,HAP2_chr02,HAP2_chr12,HAP2_chr15,HAP2_chr09,HAP2_chr14,HAP2_chr08,HAP2_chr13,HAP2_chr10,HAP2_chr16,HAP2_chr07,HAP3_chr01,HAP3_chr03,HAP3_chr04,HAP3_chr06,HAP3_chr10,HAP3_chr13,HAP3_chr02,HAP3_chr14,HAP3_chr15,HAP3_chr08,HAP3_chr11,HAP3_chr07,HAP3_chr09,HAP3_chr05,HAP3_chr16,HAP3_chr12,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16
HAP3_chr14,0.136552,0.153120,0.134641,0.140487,0.137179,0.148985,0.142772,0.147028,0.134556,0.133453,0.065833,0.145534,0.144418,0.015074,0.133803,0.152573,0.138344,0.146223,0.135444,0.065820,0.141257,0.137255,0.149764,0.143039,0.135399,0.133853,0.016642,0.145614,0.144268,0.135677,0.154216,0.146559,0.138576,0.136022,0.140594,0.143870,0.134250,0.142284,0.151054,0.000000,0.132632,0.144580,0.068090,0.143626,0.133950,0.138805,0.150167,0.144963,0.137972,0.141921,0.137650,0.013770,0.133978,0.131563,0.149032,0.144892,0.145656,0.145175,0.066390,0.134004,0.153399,0.146876,0.148167,0.146993
HAP3_chr15,0.132928,0.149277,0.131455,0.137647,0.133674,0.145188,0.072894,0.144084,0.129845,0.131200,0.142114,0.142461,0.141370,0.133210,0.017440,0.150029,0.136025,0.142800,0.132399,0.142213,0.137744,0.134202,0.146486,0.141145,0.017248,0.128994,0.133355,0.143600,0.141388,0.132273,0.151890,0.071988,0.135811,0.133310,0.136749,0.141747,0.131077,0.139988,0.148670,0.132632,0.000000,0.144554,0.142752,0.071597,0.129160,0.135273,0.147713,0.141952,0.134306,0.137257,0.136238,0.132638,0.129731,0.128246,0.145507,0.142366,0.142740,0.144410,0.143759,0.017889,0.149006,0.071581,0.143916,0.142911
HAP3_chr08,0.070109,0.148950,0.146168,0.147796,0.143633,0.144287,0.141819,0.024619,0.142640,0.143168,0.145619,0.141678,0.139780,0.147664,0.146316,0.148768,0.069961,0.141876,0.144247,0.143303,0.148161,0.143467,0.144961,0.139076,0.146977,0.141155,0.146852,0.024231,0.140518,0.144714,0.149241,0.143903,0.070823,0.145927,0.147271,0.141562,0.144680,0.139379,0.147851,0.144580,0.144554,0.000000,0.144365,0.143993,0.140278,0.144114,0.146900,0.141333,0.070056,0.146109,0.146369,0.146624,0.144025,0.139851,0.146840,0.142914,0.028366,0.144646,0.146090,0.145067,0.147849,0.143048,0.144445,0.142112
HAP3_chr11,0.144002,0.149131,0.144671,0.149153,0.145215,0.144144,0.141147,0.146661,0.144007,0.143422,0.028161,0.140411,0.141075,0.068103,0.144117,0.146553,0.146168,0.143677,0.145158,0.028285,0.149745,0.145129,0.148864,0.141816,0.145880,0.143202,0.068438,0.145110,0.139488,0.144822,0.148468,0.141350,0.146399,0.145565,0.148579,0.143682,0.144385,0.138967,0.151019,0.068090,0.142752,0.144365,0.000000,0.143198,0.141874,0.145019,0.145966,0.141642,0.143587,0.149087,0.145282,0.067932,0.144452,0.140543,0.146022,0.143432,0.145884,0.144266,0.029514,0.144371,0.147850,0.140015,0.143359,0.140557
HAP3_chr07,0.141535,0.146097,0.143149,0.148263,0.142924,0.143289,0.019810,0.144037,0.142435,0.140063,0.140941,0.139781,0.137716,0.144523,0.071766,0.146763,0.143511,0.140685,0.143208,0.139498,0.146693,0.144294,0.145514,0.138624,0.072308,0.141597,0.143044,0.144322,0.138305,0.143553,0.147287,0.030885,0.143686,0.144466,0.146511,0.140268,0.141290,0.137132,0.146365,0.143626,0.071597,0.143993,0.143198,0.000000,0.141654,0.144239,0.145126,0.137817,0.140827,0.147344,0.144686,0.143308,0.140027,0.139468,0.146753,0.141795,0.142577,0.142798,0.141822,0.071920,0.144643,0.030989,0.142121,0.139971
HAP3_chr09,0.132653,0.148102,0.131902,0.136404,0.133950,0.141685,0.139857,0.141131,0.020149,0.128294,0.141500,0.140337,0.075574,0.134690,0.129681,0.146316,0.132822,0.139315,0.131449,0.142316,0.138971,0.134196,0.144926,0.140278,0.131066,0.018740,0.134562,0.142559,0.075359,0.130156,0.150869,0.143330,0.135593,0.132959,0.136063,0.138279,0.129427,0.076567,0.146972,0.133950,0.129160,0.140278,0.141874,0.141654,0.000000,0.134446,0.144498,0.140959,0.131671,0.136871,0.133925,0.133260,0.129158,0.015433,0.145096,0.141536,0.140491,0.142459,0.144694,0.131627,0.147796,0.142073,0.076071,0.142061
HAP3_chr05,0.137501,0.153850,0.136647,0.140353,0.018108,0.147893,0.132643,0.144939,0.133901,0.134229,0.144523,0.144421,0.143825,0.139445,0.136103,0.067829,0.137517,0.144519,0.137211,0.144450,0.141398,0.018290,0.149485,0.144036,0.137275,0.134659,0.138081,0.145811,0.144730,0.135583,0.067344,0.146679,0.138256,0.137852,0.141576,0.143433,0.135717,0.142026,0.148871,0.138805,0.135273,0.144114,0.145019,0.144239,0.134446,0.000000,0.068033,0.144955,0.137488,0.140746,0.017891,0.137400,0.133646,0.132810,0.147844,0.143132,0.142439,0.068395,0.147603,0.136331,0.151395,0.146641,0.147722,0.144902
HAP3_chr16,0.148436,0.147385,0.148055,0.151387,0.066824,0.144978,0.115884,0.148162,0.144446,0.146243,0.146303,0.142878,0.142130,0.149994,0.147849,0.026928,0.150226,0.145278,0.146708,0.145254,0.151996,0.067210,0.148868,0.141517,0.149642,0.144942,0.149984,0.147742,0.142543,0.146673,0.029118,0.142883,0.150297,0.148379,0.150051,0.145700,0.146909,0.141305,0.149273,0.150167,0.147713,0.146900,0.145966,0.145126,0.144498,0.068033,0.000000,0.143347,0.148500,0.151278,0.066939,0.149583,0.146894,0.144773,0.147326,0.146812,0.146354,0.023823,0.143844,0.148609,0.147216,0.142387,0.142999,0.141052
HAP3_chr12,0.142784,0.144854,0.143782,0.148392,0.144358,0.140501,0.139207,0.143242,0.141848,0.074382,0.141593,0.024897,0.137239,0.145127,0.142339,0.146093,0.145327,0.140835,0.142717,0.139292,0.147323,0.145645,0.144775,0.026145,0.143838,0.143108,0.144926,0.143541,0.137042,0.074872,0.145501,0.139245,0.145290,0.144166,0.146157,0.141330,0.074265,0.135875,0.146336,0.144963,0.141952,0.141333,0.141642,0.137817,0.140959,0.144955,0.143347,0.000000,0.142652,0.147816,0.145271,0.145158,0.074659,0.139568,0.142836,0.140769,0.142939,0.140707,0.140919,0.142697,0.143080,0.138328,0.140177,0.036261
HAP4_chr01,0.020450,0.151824,0.135326,0.138349,0.135969,0.146483,0.141426,0.070598,0.132773,0.133077,0.145295,0.141629,0.140638,0.137972,0.135819,0.148727,0.020974,0.142868,0.134753,0.143504,0.139072,0.135311,0.147504,0.142120,0.136021,0.131548,0.137190,0.069760,0.141515,0.132868,0.152287,0.146190,0.022215,0.136729,0.136970,0.143393,0.133501,0.140581,0.147753,0.137972,0.134306,0.070056,0.143587,0.140827,0.131671,0.137488,0.148500,0.142652,0.000000,0.137773,0.137772,0.136276,0.133081,0.129845,0.145838,0.145699,0.070423,0.146237,0.143528,0.134585,0.148790,0.142004,0.145849,0.144120
HAP4_chr02,0.138897,0.065436,0.137969,0.016544,0.140356,0.147879,0.146565,0.148819,0.136370,0.137355,0.149683,0.146570,0.146492,0.141393,0.137131,0.150938,0.140029,0.146661,0.139003,0.147047,0.010390,0.140231,0.064141,0.146996,0.139281,0.136784,0.141850,0.148635,0.147216,0.138571,0.155333,0.147985,0.140137,0.140128,0.014055,0.145733,0.137925,0.145475,0.064904,0.141921,0.137257,0.146109,0.149087,0.147344,0.136871,0.140746,0.151278,0.147816,0.137773,0.000000,0.141084,0.140356,0.138188,0.134706,0.148790,0.146608,0.146882,0.147908,0.148366,0.138488,0.064647,0.147027,0.149542,0.148082
HAP4_chr03,0.136847,0.153456,0.137012,0.140797,0.015238,0.149056,0.132940,0.144836,0.134669,0.134566,0.144552,0.145697,0.144616,0.139919,0.136358,0.067046,0.138036,0.145195,0.136301,0.145272,0.141685,0.017646,0.148533,0.145847,0.136842,0.135177,0.139439,0.146322,0.142561,0.135938,0.066555,0.150378,0.137539,0.137130,0.141034,0.143334,0.135447,0.142798,0.149066,0.137650,0.136238,0.146369,0.145282,0.144686,0.133925,0.017891,0.066939,0.145271,0.137772,0.141084,0.000000,0.137848,0.133540,0.132243,0.147464,0.143662,0.143970,0.067205,0.147055,0.137882,0.151269,0.145501,0.148079,0.147734
HAP4_chr04,0.135594,0.153972,0.133841,0.140447,0.135508,0.147109,0.143893,0.145851,0.132630,0.133041,0.066558,0.145119,0.145128,0.016601,0.132917,0.149057,0.137853,0.145115,0.134999,0.066803,0.140297,0.136538,0.149003,0.142518,0.134563,0.133427,0.017697,0.146138,0.145721,0.134375,0.152506,0.147337,0.138904,0.134920,0.139623,0.144694,0.132483,0.142736,0.150514,0.013770,0.132638,0.146624,0.067932,0.143308,0.133260,0.137400,0.149583,0.145158,0.136276,0.140356,0.137848,0.000000,0.132532,0.131158,0.148764,0.145350,0.145198,0.144980,0.066879,0.133359,0.152073,0.145064,0.149539,0.146552
HAP4_chr05,0.133117,0.151866,0.131790,0.138017,0.133289,0.143775,0.140369,0.144841,0.129520,0.017556,0.138603,0.074701,0.140615,0.134214,0.130891,0.149439,0.134278,0.142938,0.131364,0.142819,0.139562,0.132972,0.146875,0.073842,0.132130,0.129776,0.132865,0.143757,0.141177,0.017911,0.151069,0.144096,0.133933,0.132679,0.136918,0.141150,0.017921,0.139307,0.147854,0.133978,0.129731,0.144025,0.144452,0.140027,0.129158,0.133646,0.146894,0.074659,0.133081,0.138188,0.133540,0.132532,0.000000,0.127782,0.145233,0.141761,0.142555,0.143996,0.144263,0.131763,0.149631,0.141901,0.144004,0.075284
HAP4_chr06,0.129691,0.146907,0.130301,0.134539,0.130920,0.139843,0.138416,0.140735,0.021165,0.126556,0.139776,0.138948,0.075755,0.133643,0.129026,0.144716,0.131967,0.137655,0.129818,0.139409,0.136257,0.130835,0.144077,0.138362,0.129624,0.020383,0.132358,0.141595,0.075744,0.129024,0.149083,0.142303,0.133873,0.130956,0.134288,0.137242,0.127472,0.076730,0.145420,0.131563,0.128246,0.139851,0.140543,0.139468,0.015433,0.132810,0.144773,0.139568,0.129845,0.134706,0.132243,0.131158,0.127782,0.000000,0.143157,0.139328,0.139056,0.141130,0.141059,0.129955,0.145699,0.139448,0.076263,0.140766
HAP4_chr07,0.148163,0.145511,0.041160,0.149061,0.147244,0.040305,0.146885,0.147095,0.143678,0.144273,0.149284,0.143684,0.143182,0.150008,0.145940,0.148495,0.149451,0.049786,0.041442,0.145317,0.150182,0.148566,0.149704,0.142064,0.148061,0.144992,0.149772,0.148074,0.143210,0.146059,0.144536,0.142891,0.150081,0.040903,0.148395,0.049417,0.145867,0.142468,0.151387,0.149032,0.145507,0.146840,0.146022,0.146753,0.145096,0.147844,0.147326,0.142836,0.145838,0.148790,0.147464,0.148764,0.145233,0.143157,0.000000,0.049624,0.146770,0.149762,0.143998,0.146650,0.149654,0.142310,0.141030,0.138856
HAP4_chr08,0.143446,0.149250,0.068223,0.148095,0.144928,0.028118,0.140817,0.144416,0.140059,0.143769,0.143163,0.140852,0.138120,0.146534,0.143375,0.145474,0.144776,0.023758,0.068219,0.142703,0.148051,0.145327,0.144566,0.138687,0.144484,0.140571,0.145777,0.142405,0.136575,0.142353,0.147544,0.142770,0.145256,0.068648,0.146577,0.017503,0.142840,0.137630,0.147497,0.144892,0.142366,0.142914,0.143432,0.141795,0.141536,0.143132,0.146812,0.140769,0.145699,0.146608,0.143662,0.145350,0.141761,0.139328,0.049624,0.000000,0.142158,0.142586,0.142727,0.143637,0.145824,0.141569,0.141352,0.139986
HAP4_chr09,0.070625,0.150697,0.144763,0.148271,0.141576,0.144700,0.141153,0.028563,0.140578,0.142637,0.144513,0.141142,0.140169,0.145472,0.143692,0.146429,0.070143,0.141911,0.144293,0.142927,0.148383,0.141895,0.147908,0.139251,0.146710,0.140228,0.145144,0.028255,0.139809,0.143706,0.149888,0.143544,0.070990,0.146302,0.146800,0.143388,0.142282,0.138767,0.149312,0.145656,0.142740,0.028366,0.145884,0.142577,0.140491,0.142439,0.146354,0.142939,0.070423,0.146882,0.143970,0.145198,0.142555,0.139056,0.146770,0.142158,0.000000,0.144824,0.146152,0.146019,0.146646,0.142950,0.143573,0.142242
HAP4_chr10,0.144821,0.148544,0.144397,0.147783,0.066988,0.144933,0.115335,0.144541,0.144206,0.146376,0.141566,0.139887,0.140636,0.146355,0.145079,0.027012,0.145972,0.143250,0.143579,0.141311,0.149904,0.067290,0.144661,0.140321,0.146607,0.144119,0.145671,0.144205,0.141436,0.146216,0.031728,0.142419,0.146914,0.144471,0.147201,0.140899,0.145217,0.140427,0.145904,0.145175,0.144410,0.144646,0.144266,0.142798,0.142459,0.068395,0.023823,0.140707,0.146237,0.147908,0.067205,0.144980,0.143996,0.141130,0.149762,0.142586,0.144824,0.000000,0.144059,0.146082,0.145526,0.141575,0.144469,0.141939
HAP4_chr11,0.144583,0.145027,0.144932,0.149016,0.145732,0.141508,0.141728,0.146333,0.144775,0.143009,0.027301,0.140497,0.140431,0.066303,0.145090,0.143687,0.145944,0.142697,0.144914,0.026391,0.149480,0.146431,0.147913,0.139982,0.145445,0.144196,0.066922,0.145520,0.140708,0.144726,0.143442,0.139686,0.146367,0.146528,0.149539,0.142142,0.143894,0.139449,0.148305,0.066390,0.143759,0.146090,0.029514,0.141822,0.144694,0.147603,0.143844,0.140919,0.143528,0.148366,0.147055,0.066879,0.144263,0.141059,0.143998,0.142727,0.146152,0.144059,0.000000,0.144690,0.148483,0.139816,0.141450,0.138299
HAP4_chr12,0.135833,0.150787,0.134953,0.136964,0.134893,0.146119,0.073495,0.145598,0.132643,0.132337,0.145205,0.143772,0.143423,0.134751,0.017475,0.150480,0.137539,0.144091,0.134011,0.143131,0.139264,0.134928,0.148454,0.142519,0.017201,0.131829,0.134840,0.144715,0.142404,0.134803,0.151096,0.072447,0.137888,0.134420,0.138047,0.143758,0.133722,0.141761,0.150596,0.134004,0.017889,0.145067,0.144371,0.071920,0.131627,0.136331,0.148609,0.142697,0.134585,0.138488,0.137882,0.133359,0.131763,0.129955,0.146650,0.143637,0.146019,0.146082,0.144690,0.000000,0.149651,0.072226,0.145275,0.144803
HAP4_chr13,0.150540,0.026356,0.150531,0.065049,0.149774,0.147056,0.144669,0.148856,0.148563,0.148923,0.148066,0.144279,0.144525,0.152383,0.150314,0.146605,0.152957,0.146289,0.149327,0.146341,0.065713,0.150961,0.023471,0.144374,0.152730,0.147983,0.152043,0.148216,0.142243,0.150171,0.149337,0.145442,0.152877,0.150334,0.064733,0.145298,0.149328,0.141451,0.022827,0.153399,0.149006,0.147849,0.147850,0.144643,0.147796,0.151395,0.147216,0.143080,0.148790,0.064647,0.151269,0.152073,0.149631,0.145699,0.149654,0.145824,0.146646,0.145526,0.148483,0.149651,0.000000,0.144229,0.145606,0.145388
HAP4_chr14,0.143869,0.145234,0.142729,0.146913,0.144919,0.139880,0.032070,0.144122,0.142835,0.140885,0.143918,0.138362,0.140158,0.147050,0.072044,0.142968,0.145777,0.140552,0.142897,0.142552,0.149382,0.145154,0.145411,0.139249,0.072655,0.141862,0.146176,0.144764,0.137941,0.141310,0.145122,0.030699,0.146944,0.144158,0.147123,0.140204,0.142400,0.138169,0.145290,0.146876,0.071581,0.143048,0.140015,0.030989,0.142073,0.146641,0.142387,0.138328,0.142004,0.147027,0.145501,0.145064,0.141901,0.139448,0.142310,0.141569,0.142950,0.141575,0.139816,0.072226,0.144229,0.000000,0.139400,0.136260
HAP4_chr15,0.146159,0.143225,0.145577,0.149002,0.146461,0.137983,0.141274,0.145609,0.075775,0.142645,0.144623,0.141095,0.033784,0.149586,0.143546,0.144453,0.147460,0.141605,0.145199,0.144111,0.148953,0.146956,0.146682,0.140369,0.145940,0.075931,0.148241,0.145082,0.035914,0.144659,0.141507,0.139914,0.146764,0.146990,0.147616,0.141772,0.145116,0.037099,0.148140,0.148167,0.143916,0.144445,0.143359,0.142121,0.076071,0.147722,0.142999,0.140177,0.145849,0.149542,0.148079,0.149539,0.144004,0.076263,0.141030,0.141352,0.143573,0.144469,0.141450,0.145275,0.145606,0.139400,0.000000,0.135608
HAP4_chr16,0.145296,0.141488,0.146444,0.147084,0.146189,0.137068,0.139482,0.142772,0.142466,0.075456,0.144154,0.033742,0.136842,0.147904,0.143370,0.143774,0.146018,0.140485,0.145444,0.142983,0.148931,0.146741,0.146155,0.036575,0.143860,0.141289,0.145850,0.143840,0.138114,0.075097,0.141842,0.136625,0.146877,0.145256,0.146965,0.140103,0.074557,0.136277,0.147575,0.146993,0.142911,0.142112,0.140557,0.139971,0.142061,0.144902,0.141052,0.036261,0.144120,0.148082,0.147734,0.146552,0.075284,0.140766,0.138856,0.139986,0.142242,0.141939,0.138299,0.144803,0.145388,0.136260,0.135608,0.000000
