,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19
HAP3_chr07,0.145096,0.134587,0.134150,0.152467,0.131003,0.134084,0.021364,0.164358,0.134204,0.153745,0.140382,0.145360,0.162903,0.157424,0.154239,0.143727,0.162505,0.156982,0.155934,0.143639,0.136295,0.142483,0.152138,0.134471,0.135061,0.020467,0.162696,0.135955,0.153115,0.138666,0.148762,0.160738,0.155613,0.149683,0.149606,0.160680,0.156963,0.160166,0.141695,0.137087,0.148635,0.156060,0.132144,0.138855,0.000000,0.158344,0.134569,0.154763,0.142219,0.150538,0.167885,0.156535,0.147574,0.144105,0.161952,0.154218,0.156490
HAP3_chr08,0.159136,0.162177,0.161252,0.166560,0.161382,0.162086,0.162658,0.014751,0.163052,0.159695,0.165077,0.164441,0.168154,0.171623,0.166030,0.167355,0.173015,0.161043,0.168531,0.159464,0.161295,0.164630,0.164971,0.162835,0.162069,0.158660,0.013396,0.160508,0.158054,0.165436,0.166402,0.167922,0.168840,0.163091,0.169758,0.172451,0.162287,0.172468,0.157457,0.163881,0.174806,0.168262,0.160797,0.164941,0.158344,0.000000,0.162456,0.158070,0.166369,0.166543,0.169632,0.170812,0.166155,0.168601,0.174830,0.159993,0.168856
HAP3_chr09,0.150819,0.135515,0.140260,0.157939,0.139021,0.142822,0.135308,0.165600,0.017760,0.160467,0.142625,0.149456,0.164136,0.162122,0.161422,0.147575,0.166401,0.158589,0.161670,0.152646,0.141010,0.148462,0.158075,0.140836,0.144437,0.134996,0.166821,0.019103,0.160502,0.142989,0.152782,0.162254,0.162242,0.153433,0.154648,0.163117,0.163084,0.165513,0.149227,0.138570,0.154623,0.162723,0.138323,0.150317,0.134569,0.162456,0.000000,0.159861,0.145550,0.151886,0.170395,0.162413,0.152447,0.149865,0.167698,0.160623,0.159663
HAP3_chr10,0.155925,0.154890,0.158901,0.166766,0.157780,0.155028,0.155790,0.162146,0.161676,0.015547,0.162333,0.161085,0.168459,0.166586,0.164215,0.166402,0.170811,0.169909,0.168311,0.156492,0.153087,0.159555,0.165914,0.159564,0.154403,0.155131,0.161647,0.159460,0.015309,0.162470,0.163550,0.165161,0.167751,0.163979,0.163619,0.168385,0.171307,0.171379,0.155307,0.154662,0.174395,0.164238,0.158326,0.163651,0.154763,0.158070,0.159861,0.000000,0.163727,0.165854,0.168711,0.167900,0.164691,0.165250,0.171458,0.164221,0.169334
HAP3_chr11,0.158645,0.144784,0.147054,0.155485,0.146863,0.148715,0.142682,0.170075,0.145339,0.162731,0.016137,0.155215,0.165810,0.168051,0.164118,0.154082,0.168293,0.162867,0.163355,0.158093,0.147170,0.152931,0.156173,0.148217,0.147997,0.143927,0.168101,0.144335,0.163852,0.016794,0.158339,0.166461,0.163995,0.157448,0.157000,0.167479,0.166844,0.167007,0.155381,0.144525,0.159138,0.158851,0.148287,0.153582,0.142219,0.166369,0.145550,0.163727,0.000000,0.158741,0.169811,0.167220,0.158133,0.154701,0.169963,0.163715,0.165474
HAP3_chr12,0.156090,0.155742,0.155126,0.161967,0.149969,0.156608,0.153610,0.169575,0.152386,0.163069,0.158943,0.015215,0.168149,0.164921,0.164493,0.159056,0.168155,0.166843,0.160647,0.156062,0.154717,0.158078,0.162026,0.151054,0.155119,0.150455,0.167548,0.153424,0.162329,0.158360,0.014763,0.166289,0.163746,0.161437,0.165174,0.166752,0.165435,0.164873,0.153778,0.156101,0.165848,0.165047,0.153757,0.164582,0.150538,0.166543,0.151886,0.165854,0.158741,0.000000,0.170899,0.164367,0.161256,0.161103,0.168668,0.165074,0.161170
HAP3_chr13,0.166565,0.169845,0.167269,0.170574,0.169007,0.166499,0.165833,0.171940,0.170645,0.170922,0.170194,0.168462,0.015461,0.172698,0.170476,0.170474,0.155004,0.174003,0.170215,0.165766,0.163361,0.169766,0.169092,0.169470,0.165821,0.167615,0.168540,0.167743,0.169633,0.171353,0.167739,0.015900,0.171471,0.167548,0.169258,0.156311,0.174810,0.173146,0.164478,0.169075,0.177602,0.171284,0.167955,0.171289,0.167885,0.169632,0.170395,0.168711,0.169811,0.170899,0.000000,0.173315,0.171540,0.172110,0.156265,0.170641,0.169324
HAP3_chr14,0.162117,0.159253,0.164423,0.167509,0.159126,0.163010,0.160153,0.171174,0.164364,0.168033,0.167403,0.163298,0.170633,0.011161,0.153956,0.166593,0.170294,0.172954,0.169666,0.161314,0.162295,0.163523,0.169661,0.160872,0.162101,0.159020,0.171785,0.165990,0.168944,0.165443,0.168852,0.169126,0.014885,0.152699,0.167294,0.173679,0.174094,0.172563,0.160581,0.162356,0.174855,0.167232,0.159026,0.168189,0.156535,0.170812,0.162413,0.167900,0.167220,0.164367,0.173315,0.000000,0.154884,0.164618,0.173431,0.172094,0.170367
HAP3_chr15,0.155903,0.152732,0.155970,0.165334,0.154796,0.154451,0.151688,0.168632,0.152165,0.164481,0.159608,0.159945,0.165618,0.154250,0.020349,0.160885,0.169287,0.164616,0.163641,0.156088,0.151552,0.153988,0.163604,0.153403,0.153940,0.150787,0.168418,0.152210,0.164029,0.155742,0.163498,0.167276,0.153803,0.016517,0.164075,0.165993,0.169372,0.169327,0.155110,0.154869,0.163036,0.165490,0.153527,0.160981,0.147574,0.166155,0.152447,0.164691,0.158133,0.161256,0.171540,0.154884,0.000000,0.160480,0.172423,0.165269,0.164726
HAP3_chr16,0.160334,0.147744,0.140473,0.162772,0.147619,0.147664,0.144006,0.172318,0.148462,0.165168,0.151214,0.157849,0.165499,0.169295,0.165460,0.016678,0.170415,0.165664,0.166069,0.159223,0.149490,0.144937,0.162372,0.148630,0.149875,0.144623,0.172722,0.151949,0.164258,0.150351,0.160466,0.167617,0.164794,0.163792,0.019298,0.171227,0.167025,0.170328,0.157590,0.149817,0.152200,0.163841,0.149044,0.151746,0.144105,0.168601,0.149865,0.165250,0.154701,0.161103,0.172110,0.164618,0.160480,0.000000,0.170368,0.163497,0.166771
HAP3_chr17,0.167516,0.166865,0.168276,0.174713,0.165538,0.167858,0.167071,0.174329,0.170908,0.172161,0.169816,0.169137,0.153309,0.172668,0.175300,0.170206,0.012977,0.172772,0.169901,0.167472,0.164694,0.169579,0.174423,0.169632,0.168632,0.164308,0.175305,0.165677,0.174042,0.170096,0.169783,0.153772,0.170056,0.173020,0.171020,0.012052,0.169213,0.172849,0.166048,0.164039,0.181271,0.173916,0.166305,0.172281,0.161952,0.174830,0.167698,0.171458,0.169963,0.168668,0.156265,0.173431,0.172423,0.170368,0.000000,0.170190,0.169642
HAP3_chr18,0.160163,0.155948,0.159596,0.169361,0.156044,0.158077,0.156647,0.162239,0.159652,0.167832,0.160900,0.160466,0.169115,0.169370,0.167854,0.162680,0.169228,0.015120,0.165741,0.162187,0.153927,0.159905,0.166544,0.158461,0.158525,0.156238,0.163102,0.159164,0.167141,0.157994,0.164579,0.169171,0.169229,0.168377,0.166602,0.170584,0.016016,0.173978,0.160358,0.157506,0.175460,0.171217,0.157877,0.164856,0.154218,0.159993,0.160623,0.164221,0.163715,0.165074,0.170641,0.172094,0.165269,0.163497,0.170190,0.000000,0.167377
HAP3_chr19,0.158407,0.159788,0.163367,0.168526,0.159978,0.162144,0.157209,0.170462,0.163600,0.165688,0.162402,0.157550,0.169362,0.167829,0.167792,0.165705,0.172582,0.167914,0.013995,0.159973,0.159670,0.163503,0.168721,0.160894,0.161993,0.159621,0.171341,0.162380,0.167587,0.159825,0.158980,0.170163,0.170491,0.167721,0.163753,0.171499,0.168141,0.014496,0.156423,0.160228,0.174004,0.172521,0.158751,0.164840,0.156490,0.168856,0.159663,0.169334,0.165474,0.161170,0.169324,0.170367,0.164726,0.166771,0.169642,0.167377,0.000000
