,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36
HAP1_chr35,0.122888,0.122674,0.121138,0.117631,0.120555,0.115196,0.119103,0.120807,0.121158,0.120280,0.120044,0.120236,0.120512,0.119268,0.120435,0.083098,0.117569,0.117620,0.097781,0.091559,0.096334,0.095774,0.094313,0.091739,0.096689,0.094513,0.095032,0.095643,0.094796,0.093926,0.092388,0.093993,0.095079,0.094358,0.000000,0.095822,0.121355,0.121345,0.121418,0.116589,0.119632,0.114484,0.117983,0.118699,0.119797,0.119896,0.118568,0.120651,0.120495,0.119763,0.119429,0.082384,0.118362,0.118380,0.098171,0.092694,0.096553,0.096843,0.092779,0.093228,0.095289,0.094671,0.095233,0.093149,0.095528,0.093964,0.092511,0.095931,0.095579,0.093168,0.007169,0.096546
HAP1_chr36,0.123512,0.122725,0.121297,0.117915,0.121385,0.084328,0.119087,0.121110,0.121202,0.120180,0.120101,0.120532,0.120763,0.119281,0.121356,0.120961,0.117577,0.117959,0.098968,0.094319,0.097089,0.098116,0.096955,0.094326,0.097511,0.096303,0.097472,0.097411,0.096403,0.095935,0.093735,0.095896,0.097140,0.096184,0.095822,0.000000,0.121676,0.121752,0.120579,0.116942,0.120834,0.087183,0.118495,0.118539,0.120456,0.120327,0.119170,0.119786,0.120924,0.119671,0.120223,0.121083,0.118669,0.118432,0.099330,0.095224,0.097363,0.098594,0.096190,0.096094,0.096283,0.096345,0.097870,0.095377,0.097528,0.095387,0.093715,0.097753,0.096626,0.095582,0.097578,0.011663
HAP2_chr01,0.007194,0.078733,0.074243,0.075206,0.073802,0.076753,0.073913,0.074264,0.075213,0.076648,0.077922,0.075944,0.076140,0.077758,0.075901,0.076321,0.078274,0.078972,0.118481,0.109977,0.117862,0.088279,0.114806,0.114933,0.114577,0.116581,0.117033,0.118880,0.116390,0.118498,0.117820,0.117933,0.120032,0.118702,0.121355,0.121676,0.000000,0.079189,0.075889,0.077049,0.073927,0.077098,0.074293,0.074681,0.076821,0.076579,0.078017,0.078074,0.078246,0.080189,0.076733,0.076493,0.077754,0.079277,0.120493,0.116429,0.117593,0.088437,0.114503,0.117025,0.119924,0.116860,0.118123,0.118176,0.117879,0.117714,0.118504,0.119188,0.119973,0.116940,0.122869,0.122278
HAP2_chr02,0.079365,0.007086,0.077941,0.078636,0.078085,0.079670,0.078861,0.078058,0.079319,0.079911,0.079567,0.078858,0.080062,0.079886,0.080312,0.080400,0.081072,0.081713,0.076664,0.112638,0.118908,0.119817,0.116183,0.115492,0.115753,0.118266,0.118878,0.119929,0.117887,0.119576,0.120005,0.119113,0.120575,0.120034,0.121345,0.121752,0.079189,0.000000,0.079827,0.080345,0.078350,0.079920,0.079299,0.079121,0.080798,0.079852,0.079982,0.080362,0.082208,0.082293,0.080992,0.080236,0.080900,0.082326,0.080627,0.117736,0.119042,0.120139,0.115950,0.117121,0.120594,0.118908,0.120333,0.120269,0.118545,0.119237,0.120044,0.120562,0.120221,0.118073,0.123146,0.122720
HAP2_chr03,0.076477,0.080104,0.011023,0.075684,0.074644,0.077419,0.074428,0.075113,0.076274,0.078142,0.077776,0.075996,0.076268,0.078176,0.077258,0.077023,0.077908,0.079464,0.119480,0.111345,0.118893,0.119621,0.115910,0.085870,0.115647,0.117628,0.117926,0.119383,0.116659,0.119264,0.118515,0.116696,0.120544,0.118626,0.121418,0.120579,0.075889,0.079827,0.000000,0.076428,0.074763,0.077138,0.074566,0.074996,0.077306,0.077678,0.077162,0.077470,0.077800,0.080047,0.077916,0.077100,0.076841,0.079058,0.121789,0.117247,0.118554,0.120134,0.114737,0.086484,0.120853,0.117728,0.118804,0.117420,0.117690,0.119030,0.118682,0.118830,0.120292,0.117990,0.121785,0.120789
HAP2_chr04,0.077855,0.080713,0.076075,0.009629,0.076279,0.077049,0.076373,0.076253,0.077366,0.078718,0.078640,0.077013,0.077505,0.078900,0.077743,0.078494,0.078702,0.079173,0.114619,0.108087,0.114113,0.115057,0.111771,0.111386,0.111097,0.113841,0.113621,0.115631,0.112751,0.114401,0.114132,0.113985,0.115528,0.086216,0.116589,0.116942,0.077049,0.080345,0.076428,0.000000,0.075974,0.077189,0.076017,0.076268,0.078043,0.078294,0.078686,0.078672,0.078874,0.080723,0.078279,0.078392,0.077924,0.079578,0.116805,0.113293,0.114469,0.114904,0.110683,0.113097,0.115880,0.114120,0.114218,0.114371,0.113445,0.114104,0.114440,0.115920,0.115746,0.086926,0.118377,0.117366
HAP2_chr05,0.074364,0.077856,0.073022,0.074218,0.007136,0.075486,0.074102,0.073363,0.074737,0.076289,0.076606,0.074522,0.075233,0.076765,0.076050,0.076383,0.076551,0.078367,0.116945,0.109758,0.117832,0.118277,0.114348,0.114090,0.113830,0.116085,0.116064,0.117568,0.115616,0.085994,0.117513,0.116141,0.119911,0.117988,0.119632,0.120834,0.073927,0.078350,0.074763,0.075974,0.000000,0.075695,0.074308,0.074405,0.075750,0.075948,0.076859,0.076950,0.077082,0.079637,0.076519,0.076030,0.076033,0.078019,0.119656,0.115849,0.117866,0.118373,0.113823,0.116125,0.119153,0.116677,0.116388,0.116999,0.117210,0.087568,0.118633,0.117761,0.119181,0.116926,0.120809,0.121048
HAP2_chr06,0.078085,0.079783,0.075960,0.076044,0.075816,0.008143,0.077109,0.076472,0.077035,0.077855,0.078962,0.076485,0.077478,0.078277,0.078994,0.078284,0.078426,0.079945,0.112551,0.104823,0.111822,0.113072,0.109605,0.108614,0.109786,0.110778,0.112020,0.113261,0.110919,0.112284,0.111155,0.111297,0.114196,0.112166,0.114484,0.087183,0.077098,0.079920,0.077138,0.077189,0.075695,0.000000,0.077080,0.076556,0.078206,0.077455,0.078919,0.078254,0.078897,0.079959,0.079191,0.078181,0.078390,0.079890,0.114925,0.109839,0.111848,0.113296,0.108914,0.110389,0.114234,0.111341,0.112613,0.111459,0.111927,0.112208,0.111947,0.113878,0.113525,0.111301,0.115896,0.086908
HAP2_chr07,0.075020,0.078986,0.073872,0.074790,0.074083,0.076922,0.009396,0.074259,0.075430,0.076868,0.078074,0.075798,0.075266,0.077588,0.076110,0.076478,0.077424,0.078585,0.115348,0.082480,0.115615,0.115873,0.112115,0.112237,0.112704,0.114173,0.113633,0.116025,0.113138,0.115643,0.115577,0.114899,0.118136,0.115671,0.117983,0.118495,0.074293,0.079299,0.074566,0.076017,0.074308,0.077080,0.000000,0.074179,0.076732,0.076697,0.077837,0.077771,0.077352,0.079524,0.076375,0.076052,0.076959,0.078308,0.117913,0.085177,0.115049,0.116334,0.111215,0.114363,0.117605,0.114348,0.114094,0.114964,0.114509,0.115813,0.115487,0.116042,0.117955,0.114471,0.119661,0.118558
HAP2_chr08,0.075715,0.078760,0.074193,0.074763,0.074462,0.076895,0.074212,0.008101,0.075482,0.076899,0.077535,0.075525,0.076002,0.077396,0.076783,0.076252,0.077597,0.078857,0.117238,0.108766,0.115898,0.117493,0.113360,0.113154,0.112397,0.114806,0.115630,0.117018,0.114614,0.116542,0.087320,0.115241,0.118587,0.116253,0.118699,0.118539,0.074681,0.079121,0.074996,0.076268,0.074405,0.076556,0.074179,0.000000,0.076585,0.076627,0.077052,0.077457,0.077431,0.079129,0.077096,0.075720,0.077079,0.078422,0.119508,0.114210,0.115657,0.117429,0.112524,0.115351,0.117671,0.115107,0.116163,0.115946,0.115640,0.116585,0.087934,0.116839,0.118316,0.115193,0.120457,0.118320
HAP2_chr09,0.077573,0.080368,0.076026,0.076288,0.075559,0.077995,0.076523,0.076033,0.006436,0.078235,0.079077,0.076981,0.077521,0.078171,0.078462,0.077677,0.078798,0.079855,0.117024,0.110472,0.117552,0.117188,0.114614,0.113940,0.079678,0.115960,0.117484,0.117627,0.115755,0.117722,0.118022,0.116982,0.119378,0.117995,0.119797,0.120456,0.076821,0.080798,0.077306,0.078043,0.075750,0.078206,0.076732,0.076585,0.000000,0.077995,0.079129,0.078515,0.079048,0.080293,0.078602,0.077424,0.078519,0.079936,0.119637,0.116774,0.117202,0.117242,0.113613,0.115644,0.082473,0.116579,0.118281,0.116978,0.117551,0.117115,0.118450,0.117956,0.119398,0.117030,0.120870,0.120883
HAP2_chr10,0.077216,0.079643,0.076125,0.076328,0.075593,0.077120,0.076392,0.076418,0.077184,0.004973,0.078813,0.076885,0.077244,0.077502,0.078227,0.078106,0.078115,0.079744,0.117175,0.109356,0.116677,0.118551,0.114157,0.113707,0.113493,0.114917,0.115399,0.117411,0.080451,0.116708,0.117238,0.116133,0.118617,0.117398,0.119896,0.120327,0.076579,0.079852,0.077678,0.078294,0.075948,0.077455,0.076697,0.076627,0.077995,0.000000,0.078811,0.078308,0.079030,0.079859,0.078762,0.077933,0.077743,0.079824,0.119648,0.114914,0.116645,0.118121,0.113666,0.115854,0.118732,0.115409,0.116171,0.116734,0.081445,0.116431,0.117922,0.117958,0.118224,0.116084,0.120759,0.119690
HAP2_chr11,0.078240,0.080154,0.076203,0.077442,0.076871,0.078926,0.077474,0.076961,0.078098,0.078788,0.007303,0.077451,0.078415,0.078404,0.079297,0.079029,0.078955,0.081184,0.117027,0.109620,0.083721,0.117534,0.113795,0.112943,0.112836,0.115344,0.115518,0.116944,0.115658,0.117103,0.117159,0.115626,0.118005,0.116543,0.118568,0.119170,0.078017,0.079982,0.077162,0.078686,0.076859,0.078919,0.077837,0.077052,0.079129,0.078811,0.000000,0.078907,0.079952,0.080563,0.079583,0.078691,0.078613,0.081364,0.118808,0.115277,0.082976,0.117978,0.113102,0.115020,0.117584,0.115632,0.116544,0.116532,0.117368,0.116539,0.117508,0.116477,0.117777,0.115385,0.120213,0.119829
HAP2_chr12,0.078800,0.080666,0.076920,0.077389,0.076609,0.078461,0.077406,0.077276,0.078279,0.078546,0.078823,0.008889,0.079046,0.077885,0.079392,0.078433,0.079648,0.080589,0.116683,0.111014,0.117018,0.118196,0.081826,0.113979,0.113865,0.116637,0.116772,0.117727,0.115533,0.117774,0.117252,0.115520,0.119005,0.117837,0.120651,0.119786,0.078074,0.080362,0.077470,0.078672,0.076950,0.078254,0.077771,0.077457,0.078515,0.078308,0.078907,0.000000,0.080674,0.080039,0.079779,0.078671,0.079050,0.080641,0.118715,0.116160,0.116638,0.118386,0.083910,0.116093,0.118981,0.117229,0.118102,0.117096,0.117495,0.117534,0.117192,0.117511,0.118852,0.116342,0.122249,0.119476
HAP2_chr13,0.079187,0.082307,0.077186,0.078083,0.076852,0.078527,0.077692,0.077576,0.078326,0.079558,0.080501,0.079213,0.008268,0.080242,0.078793,0.079390,0.080346,0.080396,0.118792,0.111663,0.118023,0.119178,0.115512,0.114686,0.114795,0.081959,0.117843,0.118223,0.115950,0.119177,0.118540,0.117759,0.119731,0.117510,0.120495,0.120924,0.078246,0.082208,0.077800,0.078874,0.077082,0.078897,0.077352,0.077431,0.079048,0.079030,0.079952,0.080674,0.000000,0.081741,0.079330,0.078801,0.079323,0.080387,0.121283,0.116816,0.118678,0.119444,0.115062,0.116253,0.119587,0.082953,0.118704,0.116810,0.117142,0.118404,0.119150,0.118666,0.119059,0.116743,0.121521,0.120871
HAP2_chr14,0.081310,0.082674,0.079675,0.079659,0.079637,0.080179,0.079826,0.079154,0.079631,0.080154,0.080704,0.078701,0.080695,0.008559,0.081645,0.080862,0.080688,0.082178,0.116969,0.111587,0.117267,0.117780,0.114486,0.115049,0.114136,0.116486,0.116472,0.080612,0.115774,0.117352,0.118839,0.116824,0.118453,0.116934,0.119763,0.119671,0.080189,0.082293,0.080047,0.080723,0.079637,0.079959,0.079524,0.079129,0.080293,0.079859,0.080563,0.080039,0.081741,0.000000,0.081820,0.080571,0.080648,0.082247,0.119970,0.116561,0.117486,0.118318,0.114208,0.116764,0.119051,0.116946,0.117398,0.085937,0.116978,0.117100,0.118624,0.118321,0.119265,0.115994,0.120744,0.120393
HAP2_chr15,0.077289,0.080511,0.076442,0.077070,0.076701,0.078813,0.076421,0.076712,0.077535,0.079234,0.079345,0.077921,0.078072,0.079643,0.006517,0.078994,0.079474,0.080840,0.117825,0.110548,0.117262,0.118432,0.114874,0.114215,0.113568,0.116202,0.115639,0.118116,0.115652,0.117440,0.116492,0.116907,0.081894,0.117800,0.119429,0.120223,0.076733,0.080992,0.077916,0.078279,0.076519,0.079191,0.076375,0.077096,0.078602,0.078762,0.079583,0.079779,0.079330,0.081820,0.000000,0.079073,0.078952,0.080970,0.120121,0.116072,0.117003,0.118445,0.113847,0.115633,0.118303,0.116550,0.116173,0.117282,0.116715,0.116696,0.117252,0.118685,0.084031,0.116549,0.121017,0.120691
HAP2_chr16,0.076992,0.080057,0.075850,0.076684,0.075375,0.078206,0.075450,0.075295,0.076597,0.078178,0.078819,0.076988,0.076882,0.078847,0.078299,0.006283,0.078423,0.079723,0.118134,0.110618,0.118291,0.118957,0.115164,0.114199,0.114787,0.116821,0.118225,0.118881,0.116494,0.117771,0.119074,0.117269,0.120399,0.117754,0.082384,0.121083,0.076493,0.080236,0.077100,0.078392,0.076030,0.078181,0.076052,0.075720,0.077424,0.077933,0.078691,0.078671,0.078801,0.080571,0.079073,0.000000,0.078040,0.080019,0.120800,0.116140,0.118337,0.118558,0.114568,0.116134,0.119943,0.117169,0.118904,0.118041,0.117531,0.117661,0.119210,0.119233,0.119561,0.116951,0.083344,0.120612
HAP2_chr17,0.078504,0.080911,0.075944,0.076766,0.075986,0.078225,0.076844,0.076655,0.077821,0.077747,0.079206,0.077513,0.077850,0.078260,0.078386,0.078734,0.008594,0.080157,0.115919,0.108967,0.116467,0.117802,0.113742,0.112364,0.112350,0.115431,0.115686,0.116383,0.114535,0.116527,0.116455,0.082429,0.117449,0.115934,0.118362,0.118669,0.077754,0.080900,0.076841,0.077924,0.076033,0.078390,0.076959,0.077079,0.078519,0.077743,0.078613,0.079050,0.079323,0.080648,0.078952,0.078040,0.000000,0.080089,0.117793,0.114436,0.115900,0.117969,0.112669,0.113916,0.117181,0.115619,0.116987,0.115661,0.116282,0.115921,0.117522,0.082138,0.117056,0.114775,0.120291,0.118834
HAP2_chr18,0.080265,0.082778,0.078796,0.078866,0.078050,0.079797,0.078901,0.078335,0.079362,0.080173,0.081671,0.079617,0.079535,0.080821,0.080378,0.080026,0.080115,0.007141,0.116473,0.109052,0.115600,0.116325,0.113176,0.112186,0.113084,0.114737,0.078857,0.116813,0.114426,0.116662,0.116378,0.115624,0.117155,0.116025,0.118380,0.118432,0.079277,0.082326,0.079058,0.079578,0.078019,0.079890,0.078308,0.078422,0.079936,0.079824,0.081364,0.080641,0.080387,0.082247,0.080970,0.080019,0.080089,0.000000,0.118951,0.113524,0.115684,0.116233,0.112827,0.114466,0.117473,0.114660,0.080230,0.115863,0.113725,0.117065,0.116212,0.117160,0.116883,0.115237,0.119749,0.118515
HAP2_chr19,0.120847,0.079853,0.120656,0.117417,0.120459,0.115571,0.118610,0.120501,0.120148,0.119735,0.119199,0.118556,0.120534,0.118851,0.121326,0.121074,0.117021,0.117667,0.008184,0.096238,0.099621,0.099460,0.098301,0.096772,0.100531,0.098189,0.099681,0.099351,0.098849,0.097452,0.097264,0.097730,0.099175,0.099486,0.098171,0.099330,0.120493,0.080627,0.121789,0.116805,0.119656,0.114925,0.117913,0.119508,0.119637,0.119648,0.118808,0.118715,0.121283,0.119970,0.120121,0.120800,0.117793,0.118951,0.000000,0.097116,0.099683,0.099957,0.097298,0.098233,0.099940,0.098601,0.101699,0.098609,0.099774,0.097829,0.097443,0.099590,0.098717,0.098281,0.100178,0.100235
HAP2_chr20,0.118293,0.118574,0.117272,0.113882,0.116169,0.110812,0.082549,0.115801,0.117060,0.115179,0.116183,0.115796,0.116366,0.115447,0.117721,0.116342,0.113257,0.113460,0.095484,0.016440,0.093390,0.093278,0.092739,0.091061,0.095720,0.093135,0.093879,0.095513,0.093374,0.091560,0.090570,0.092749,0.093675,0.093609,0.092694,0.095224,0.116429,0.117736,0.117247,0.113293,0.115849,0.109839,0.085177,0.114210,0.116774,0.114914,0.115277,0.116160,0.116816,0.116561,0.116072,0.116140,0.114436,0.113524,0.097116,0.000000,0.093987,0.093921,0.091950,0.092452,0.094928,0.093471,0.094245,0.093079,0.093910,0.090993,0.091136,0.094711,0.093895,0.092797,0.095045,0.095157
HAP2_chr21,0.119036,0.119520,0.118159,0.115011,0.118105,0.112246,0.115951,0.117643,0.117773,0.116382,0.080276,0.116554,0.118347,0.116437,0.118327,0.118912,0.114838,0.114640,0.098152,0.092663,0.006602,0.096290,0.095176,0.093904,0.097850,0.095361,0.096432,0.096357,0.095959,0.095217,0.094059,0.095829,0.096859,0.095909,0.096553,0.097363,0.117593,0.119042,0.118554,0.114469,0.117866,0.111848,0.115049,0.115657,0.117202,0.116645,0.082976,0.116638,0.118678,0.117486,0.117003,0.118337,0.115900,0.115684,0.099683,0.093987,0.000000,0.096242,0.095154,0.095293,0.096836,0.096057,0.097074,0.095133,0.096515,0.094384,0.094744,0.097428,0.096732,0.095268,0.098486,0.097371
HAP2_chr22,0.085007,0.120670,0.119723,0.115625,0.118782,0.114000,0.116732,0.119268,0.118553,0.117236,0.118795,0.118538,0.119336,0.117384,0.119297,0.118858,0.116674,0.116263,0.097681,0.092941,0.095995,0.005144,0.095884,0.094075,0.098173,0.096394,0.096784,0.097481,0.095665,0.096308,0.094131,0.095349,0.097414,0.096034,0.096843,0.098594,0.088437,0.120139,0.120134,0.114904,0.118373,0.113296,0.116334,0.117429,0.117242,0.118121,0.117978,0.118386,0.119444,0.118318,0.118445,0.118558,0.117969,0.116233,0.099957,0.093921,0.096242,0.000000,0.094989,0.095588,0.097277,0.096290,0.096632,0.095804,0.096042,0.095632,0.093694,0.097009,0.097529,0.094387,0.098702,0.098081
HAP2_chr23,0.116146,0.116572,0.114905,0.111431,0.114488,0.109072,0.112738,0.114444,0.114528,0.113914,0.114222,0.084304,0.114650,0.113265,0.115370,0.114750,0.111685,0.112245,0.096003,0.090376,0.095480,0.094617,0.010637,0.091834,0.096219,0.093952,0.095231,0.095055,0.093499,0.093897,0.092308,0.093599,0.095108,0.093310,0.092779,0.096190,0.114503,0.115950,0.114737,0.110683,0.113823,0.108914,0.111215,0.112524,0.113613,0.113666,0.113102,0.083910,0.115062,0.114208,0.113847,0.114568,0.112669,0.112827,0.097298,0.091950,0.095154,0.094989,0.000000,0.093457,0.095766,0.093887,0.095285,0.093552,0.094086,0.093403,0.092490,0.095115,0.095446,0.092852,0.094446,0.096153
HAP2_chr24,0.118421,0.118030,0.085331,0.113780,0.116463,0.111472,0.115200,0.116395,0.116044,0.115778,0.115688,0.115651,0.116194,0.115727,0.117020,0.116815,0.113433,0.113110,0.097111,0.091498,0.095843,0.095128,0.094080,0.003652,0.096420,0.094194,0.094063,0.095396,0.094743,0.093323,0.092518,0.093681,0.095166,0.093983,0.093228,0.096094,0.117025,0.117121,0.086484,0.113097,0.116125,0.110389,0.114363,0.115351,0.115644,0.115854,0.115020,0.116093,0.116253,0.116764,0.115633,0.116134,0.113916,0.114466,0.098233,0.092452,0.095293,0.095588,0.093457,0.000000,0.094989,0.094209,0.094914,0.093863,0.094406,0.092638,0.093190,0.095857,0.095169,0.093322,0.095111,0.095921
HAP2_chr25,0.121176,0.120914,0.120280,0.117060,0.119938,0.114841,0.118401,0.119007,0.082177,0.118805,0.118663,0.118652,0.119731,0.118083,0.119679,0.120136,0.116890,0.117011,0.099032,0.093576,0.096780,0.096811,0.096840,0.093672,0.007170,0.096267,0.097757,0.097440,0.096807,0.095560,0.094107,0.095571,0.096732,0.096172,0.095289,0.096283,0.119924,0.120594,0.120853,0.115880,0.119153,0.114234,0.117605,0.117671,0.082473,0.118732,0.117584,0.118981,0.119587,0.119051,0.118303,0.119943,0.117181,0.117473,0.099940,0.094928,0.096836,0.097277,0.095766,0.094989,0.000000,0.096787,0.098112,0.095702,0.097347,0.095132,0.094378,0.097317,0.097144,0.095695,0.097332,0.096524
HAP2_chr26,0.119115,0.119922,0.117411,0.114950,0.116831,0.112042,0.115299,0.116524,0.117586,0.115725,0.117060,0.116943,0.082669,0.116190,0.117183,0.117905,0.114942,0.114263,0.097924,0.091503,0.096094,0.095892,0.094784,0.092883,0.096952,0.004533,0.095176,0.095969,0.094901,0.094935,0.093517,0.094564,0.096228,0.095424,0.094671,0.096345,0.116860,0.118908,0.117728,0.114120,0.116677,0.111341,0.114348,0.115107,0.116579,0.115409,0.115632,0.117229,0.082953,0.116946,0.116550,0.117169,0.115619,0.114660,0.098601,0.093471,0.096057,0.096290,0.093887,0.094209,0.096787,0.000000,0.095970,0.093983,0.095174,0.095264,0.094195,0.096431,0.095716,0.093982,0.096395,0.096313
HAP2_chr27,0.120148,0.121012,0.119000,0.115649,0.117121,0.113376,0.116344,0.117783,0.119292,0.117182,0.117847,0.117269,0.118685,0.117236,0.119404,0.119180,0.114952,0.079065,0.099852,0.092876,0.096754,0.096248,0.095356,0.093228,0.099092,0.095679,0.008605,0.097769,0.095620,0.095933,0.095086,0.095566,0.096195,0.096409,0.095233,0.097870,0.118123,0.120333,0.118804,0.114218,0.116388,0.112613,0.114094,0.116163,0.118281,0.116171,0.116544,0.118102,0.118704,0.117398,0.116173,0.118904,0.116987,0.080230,0.101699,0.094245,0.097074,0.096632,0.095285,0.094914,0.098112,0.095970,0.000000,0.096369,0.096647,0.095442,0.095408,0.096475,0.096298,0.096085,0.097250,0.097797
HAP2_chr28,0.120208,0.121269,0.118167,0.115579,0.117894,0.112606,0.116445,0.117806,0.117895,0.117215,0.118056,0.117015,0.116914,0.086073,0.118351,0.118807,0.115528,0.115394,0.097792,0.091916,0.094761,0.095198,0.093916,0.092270,0.096799,0.093553,0.095534,0.011509,0.094604,0.094442,0.091992,0.093704,0.095384,0.094017,0.093149,0.095377,0.118176,0.120269,0.117420,0.114371,0.116999,0.111459,0.114964,0.115946,0.116978,0.116734,0.116532,0.117096,0.116810,0.085937,0.117282,0.118041,0.115661,0.115863,0.098609,0.093079,0.095133,0.095804,0.093552,0.093863,0.095702,0.093983,0.096369,0.000000,0.096377,0.094280,0.092694,0.095628,0.095582,0.093478,0.095019,0.095838
HAP2_chr29,0.119764,0.119418,0.117358,0.114647,0.117751,0.112385,0.115797,0.117096,0.117716,0.080786,0.118495,0.116860,0.117417,0.116401,0.117633,0.118095,0.114731,0.113648,0.098388,0.092502,0.096424,0.096136,0.095311,0.092779,0.097457,0.095232,0.096963,0.098069,0.008075,0.095977,0.093607,0.095198,0.097214,0.095067,0.095528,0.097528,0.117879,0.118545,0.117690,0.113445,0.117210,0.111927,0.114509,0.115640,0.117551,0.081445,0.117368,0.117495,0.117142,0.116978,0.116715,0.117531,0.116282,0.113725,0.099774,0.093910,0.096515,0.096042,0.094086,0.094406,0.097347,0.095174,0.096647,0.096377,0.000000,0.095331,0.093667,0.097187,0.097113,0.094748,0.096874,0.097412
HAP2_chr30,0.119616,0.120092,0.118438,0.115086,0.085988,0.113104,0.116448,0.118383,0.117935,0.116498,0.117507,0.117145,0.118147,0.115911,0.118455,0.117247,0.115188,0.116068,0.097168,0.090607,0.094635,0.094712,0.094543,0.091579,0.096567,0.094879,0.094866,0.095845,0.094546,0.007932,0.092597,0.094209,0.095385,0.093624,0.093964,0.095387,0.117714,0.119237,0.119030,0.114104,0.087568,0.112208,0.115813,0.116585,0.117115,0.116431,0.116539,0.117534,0.118404,0.117100,0.116696,0.117661,0.115921,0.117065,0.097829,0.090993,0.094384,0.095632,0.093403,0.092638,0.095132,0.095264,0.095442,0.094280,0.095331,0.000000,0.092695,0.095950,0.095279,0.093078,0.096117,0.095482
HAP2_chr31,0.120282,0.121166,0.119169,0.115452,0.118878,0.113076,0.116298,0.088611,0.119047,0.118425,0.119036,0.117744,0.119083,0.118553,0.118355,0.119025,0.115968,0.115815,0.095742,0.090543,0.094541,0.093702,0.092688,0.091645,0.095092,0.093703,0.094520,0.094614,0.093417,0.092944,0.006134,0.092113,0.094154,0.092803,0.092511,0.093715,0.118504,0.120044,0.118682,0.114440,0.118633,0.111947,0.115487,0.087934,0.118450,0.117922,0.117508,0.117192,0.119150,0.118624,0.117252,0.119210,0.117522,0.116212,0.097443,0.091136,0.094744,0.093694,0.092490,0.093190,0.094378,0.094195,0.095408,0.092694,0.093667,0.092695,0.000000,0.094139,0.093852,0.092342,0.094659,0.094298
HAP2_chr32,0.121068,0.121618,0.119376,0.117001,0.118506,0.114329,0.117087,0.118474,0.118530,0.118233,0.117596,0.118348,0.119167,0.117965,0.119936,0.119416,0.081187,0.116944,0.099071,0.093774,0.097374,0.096724,0.095576,0.094217,0.097997,0.096766,0.095843,0.097021,0.095961,0.096479,0.093848,0.006443,0.096314,0.096667,0.095931,0.097753,0.119188,0.120562,0.118830,0.115920,0.117761,0.113878,0.116042,0.116839,0.117956,0.117958,0.116477,0.117511,0.118666,0.118321,0.118685,0.119233,0.082138,0.117160,0.099590,0.094711,0.097428,0.097009,0.095115,0.095857,0.097317,0.096431,0.096475,0.095628,0.097187,0.095950,0.094139,0.000000,0.096225,0.094712,0.097327,0.097892
HAP2_chr33,0.121365,0.121280,0.120107,0.116531,0.119496,0.114266,0.118543,0.119655,0.119788,0.118315,0.118197,0.118287,0.119066,0.118183,0.081525,0.119529,0.116207,0.115749,0.097637,0.093228,0.096761,0.096889,0.095348,0.093804,0.097820,0.095615,0.095755,0.097898,0.096190,0.095383,0.093077,0.094757,0.009310,0.094949,0.095579,0.096626,0.119973,0.120221,0.120292,0.115746,0.119181,0.113525,0.117955,0.118316,0.119398,0.118224,0.117777,0.118852,0.119059,0.119265,0.084031,0.119561,0.117056,0.116883,0.098717,0.093895,0.096732,0.097529,0.095446,0.095169,0.097144,0.095716,0.096298,0.095582,0.097113,0.095279,0.093852,0.096225,0.000000,0.094465,0.097215,0.098042
HAP2_chr34,0.118806,0.119511,0.117156,0.085714,0.117630,0.112103,0.115480,0.117230,0.117731,0.116018,0.116748,0.116044,0.116707,0.115366,0.117589,0.117502,0.114340,0.114777,0.097665,0.091862,0.095355,0.093862,0.093879,0.091861,0.097017,0.093880,0.095547,0.096150,0.093900,0.093272,0.092065,0.093060,0.094652,0.005540,0.093168,0.095582,0.116940,0.118073,0.117990,0.086926,0.116926,0.111301,0.114471,0.115193,0.117030,0.116084,0.115385,0.116342,0.116743,0.115994,0.116549,0.116951,0.114775,0.115237,0.098281,0.092797,0.095268,0.094387,0.092852,0.093322,0.095695,0.093982,0.096085,0.093478,0.094748,0.093078,0.092342,0.094712,0.094465,0.000000,0.094900,0.095564
