,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15
HAP3_chr12,0.129305,0.127618,0.126505,0.124834,0.124323,0.131389,0.126762,0.126876,0.127561,0.125810,0.129342,0.024311,0.103896,0.105447,0.127529,0.127253,0.130819,0.125694,0.124210,0.130085,0.125854,0.129196,0.127456,0.122872,0.125282,0.131462,0.025723,0.104049,0.104893,0.126906,0.127011,0.131331,0.125895,0.124288,0.130515,0.126347,0.127321,0.127354,0.124330,0.125733,0.131029,0.000000,0.103990,0.105831,0.128173,0.127782,0.128739,0.125573,0.124414,0.130285,0.127274,0.127762,0.126543,0.124799,0.126068,0.127916,0.028441,0.105858,0.108218,0.126329
HAP3_chr13,0.129380,0.130279,0.128827,0.127153,0.128839,0.129500,0.129385,0.128758,0.130017,0.128893,0.128325,0.105434,0.023673,0.095443,0.129411,0.129059,0.130159,0.128182,0.128232,0.130001,0.127911,0.132182,0.129942,0.125336,0.127915,0.129118,0.105912,0.024309,0.092747,0.128396,0.129305,0.130494,0.129075,0.128450,0.129747,0.128866,0.128169,0.130538,0.125943,0.128459,0.129987,0.103990,0.000000,0.093794,0.130977,0.130668,0.128052,0.128296,0.128943,0.129251,0.129244,0.129576,0.130351,0.127604,0.129209,0.126649,0.107551,0.028208,0.096374,0.128822
HAP3_chr14,0.126754,0.125183,0.124488,0.121566,0.123412,0.128808,0.125263,0.127364,0.125903,0.123368,0.126445,0.105938,0.092732,0.028125,0.124841,0.124743,0.129221,0.124248,0.122693,0.127940,0.123280,0.130399,0.125202,0.120043,0.123142,0.128483,0.106762,0.092718,0.026581,0.124692,0.124506,0.127883,0.125176,0.123740,0.127539,0.124909,0.127286,0.126249,0.121647,0.123481,0.127703,0.105831,0.093794,0.000000,0.125809,0.124314,0.125788,0.123141,0.123261,0.128319,0.124983,0.128125,0.125264,0.122010,0.123541,0.126146,0.106913,0.094960,0.029402,0.125034
HAP3_chr15,0.129955,0.127511,0.126460,0.103498,0.124921,0.130628,0.126668,0.128754,0.127451,0.124891,0.095084,0.128786,0.130484,0.125687,0.026108,0.126583,0.130162,0.125676,0.124327,0.129677,0.124881,0.132117,0.126570,0.107779,0.124712,0.097438,0.128389,0.131304,0.125359,0.024871,0.126844,0.130673,0.126772,0.125350,0.129944,0.126306,0.129171,0.126778,0.103228,0.125763,0.095035,0.128173,0.130977,0.125809,0.000000,0.126998,0.127796,0.124952,0.125250,0.129383,0.126009,0.129617,0.126678,0.103804,0.124996,0.095870,0.128829,0.131120,0.125177,0.028082
HAP4_chr01,0.099153,0.025547,0.100220,0.121320,0.122612,0.127934,0.123726,0.126504,0.124296,0.123441,0.127287,0.129321,0.129959,0.124461,0.126246,0.025894,0.099940,0.100085,0.121955,0.127398,0.122610,0.130917,0.124176,0.119379,0.123077,0.129428,0.127784,0.130862,0.124583,0.125928,0.025796,0.100131,0.100887,0.122087,0.127187,0.122784,0.127609,0.125140,0.120167,0.123029,0.129402,0.127782,0.130668,0.124314,0.126998,0.000000,0.102989,0.101027,0.122962,0.127614,0.123830,0.127670,0.122965,0.121408,0.123187,0.126411,0.128744,0.131340,0.124691,0.126362
HAP4_chr02,0.024177,0.102235,0.091806,0.122456,0.125048,0.125649,0.126329,0.124764,0.125614,0.125600,0.124274,0.130479,0.127608,0.125155,0.127758,0.101880,0.026196,0.092325,0.123800,0.124843,0.125519,0.128837,0.125915,0.120863,0.125039,0.126817,0.128163,0.129023,0.126463,0.127141,0.100988,0.025018,0.093048,0.124513,0.125642,0.125777,0.124881,0.125969,0.122491,0.124996,0.127171,0.128739,0.128052,0.125788,0.127796,0.102989,0.000000,0.092632,0.124171,0.125044,0.126803,0.125358,0.125271,0.123445,0.124906,0.123575,0.130501,0.128991,0.125584,0.126355
HAP4_chr03,0.089249,0.099568,0.023298,0.119291,0.120078,0.126190,0.122490,0.124989,0.122194,0.120788,0.125963,0.126054,0.128324,0.122267,0.124375,0.099267,0.089620,0.024024,0.120070,0.125054,0.122287,0.128525,0.122325,0.117553,0.120833,0.127773,0.125479,0.128965,0.123326,0.123847,0.099624,0.089808,0.025558,0.120233,0.126273,0.122481,0.125024,0.122980,0.118036,0.121178,0.128222,0.125573,0.128296,0.123141,0.124952,0.101027,0.092632,0.000000,0.120535,0.125142,0.122103,0.126222,0.121926,0.119762,0.121212,0.125505,0.127156,0.129080,0.122621,0.124358
HAP4_chr04,0.125374,0.122839,0.121377,0.120572,0.025551,0.110789,0.116525,0.099427,0.107033,0.121174,0.126897,0.125211,0.129836,0.122040,0.124517,0.122341,0.126612,0.121637,0.027785,0.110654,0.115037,0.099915,0.108209,0.118358,0.121435,0.128290,0.124724,0.129888,0.123636,0.123299,0.122334,0.126529,0.122280,0.025981,0.113313,0.115783,0.098346,0.106687,0.119775,0.121569,0.129977,0.124414,0.128943,0.123261,0.125250,0.122962,0.124171,0.120535,0.000000,0.109901,0.116056,0.099757,0.109162,0.120390,0.121442,0.125514,0.125710,0.129127,0.122556,0.124776
HAP4_chr05,0.125310,0.127132,0.126588,0.125876,0.103811,0.021091,0.101066,0.126895,0.123268,0.100820,0.127083,0.130854,0.129850,0.126652,0.129205,0.125843,0.127310,0.125864,0.103268,0.020058,0.104893,0.130263,0.122724,0.124376,0.100630,0.129062,0.130145,0.130245,0.127855,0.128560,0.126482,0.126544,0.127475,0.103871,0.024480,0.100880,0.126796,0.123103,0.124903,0.100747,0.129541,0.130285,0.129251,0.128319,0.129383,0.127614,0.125044,0.125142,0.109901,0.000000,0.102096,0.128375,0.122527,0.127390,0.104841,0.126609,0.132257,0.130524,0.127840,0.128788
HAP4_chr06,0.126259,0.124447,0.123392,0.122502,0.115239,0.102792,0.022413,0.125407,0.124813,0.106595,0.128126,0.127529,0.129150,0.124367,0.126025,0.123484,0.128347,0.123143,0.113962,0.101787,0.026121,0.128363,0.124806,0.120322,0.106723,0.128878,0.127055,0.130952,0.124186,0.125065,0.122986,0.128600,0.123984,0.114555,0.102399,0.021390,0.125750,0.125387,0.120969,0.106209,0.129894,0.127274,0.129244,0.124983,0.126009,0.123830,0.126803,0.122103,0.116056,0.102096,0.000000,0.126372,0.123728,0.122046,0.109442,0.127697,0.128908,0.130338,0.124781,0.125784
HAP4_chr07,0.126357,0.128743,0.126159,0.125073,0.101045,0.128688,0.127087,0.021547,0.102013,0.111959,0.127317,0.128616,0.129037,0.127187,0.128948,0.127751,0.127920,0.126655,0.104612,0.127328,0.126599,0.022669,0.103212,0.122078,0.112224,0.128746,0.128551,0.130439,0.127300,0.128960,0.127594,0.126900,0.127298,0.101232,0.128585,0.127638,0.021874,0.102611,0.125058,0.112420,0.129131,0.127762,0.129576,0.128125,0.129617,0.127670,0.125358,0.126222,0.099757,0.128375,0.126372,0.000000,0.103653,0.125182,0.111964,0.125981,0.128856,0.130428,0.127519,0.129248
HAP4_chr08,0.126080,0.123869,0.123098,0.120185,0.108124,0.122860,0.124693,0.104301,0.021744,0.113850,0.126519,0.127857,0.129765,0.123736,0.125422,0.123007,0.127186,0.122800,0.109288,0.123993,0.123072,0.104253,0.024985,0.119269,0.114920,0.128921,0.126972,0.131131,0.124014,0.124987,0.122777,0.127864,0.123418,0.107600,0.123361,0.124111,0.105185,0.023409,0.120636,0.115207,0.130313,0.126543,0.130351,0.125264,0.126678,0.122965,0.125271,0.121926,0.109162,0.122527,0.123728,0.103653,0.000000,0.121145,0.114340,0.126529,0.128834,0.131784,0.123814,0.125714
HAP4_chr09,0.124537,0.121413,0.120667,0.027057,0.121477,0.127517,0.122203,0.124570,0.122289,0.120763,0.102817,0.125908,0.128387,0.121298,0.104502,0.121510,0.124746,0.120694,0.120482,0.126374,0.121274,0.129024,0.121943,0.034638,0.120716,0.105823,0.125444,0.128424,0.121711,0.103163,0.121007,0.125844,0.121111,0.120573,0.127829,0.122103,0.124074,0.122782,0.025760,0.121423,0.103879,0.124799,0.127604,0.122010,0.103804,0.121408,0.123445,0.119762,0.120390,0.127390,0.122046,0.125182,0.121145,0.000000,0.120843,0.103385,0.125114,0.129008,0.121713,0.105798
HAP4_chr10,0.126178,0.124532,0.122617,0.120487,0.121735,0.104876,0.109365,0.110940,0.114685,0.023095,0.126778,0.126408,0.129223,0.121273,0.124078,0.123632,0.126737,0.122926,0.120704,0.104138,0.112376,0.112939,0.115166,0.117630,0.024910,0.127416,0.125762,0.130428,0.122708,0.123778,0.123281,0.128063,0.123807,0.121615,0.104534,0.109581,0.114894,0.115515,0.119565,0.024648,0.129014,0.126068,0.129209,0.123541,0.124996,0.123187,0.124906,0.121212,0.121442,0.104841,0.109442,0.111964,0.114340,0.120843,0.000000,0.125513,0.128261,0.130667,0.122626,0.123683
HAP4_chr11,0.125034,0.127227,0.126004,0.102763,0.125908,0.127371,0.126769,0.125915,0.127264,0.125871,0.025288,0.129288,0.128440,0.124948,0.096610,0.126712,0.126654,0.125315,0.125450,0.125536,0.125882,0.129849,0.126461,0.106002,0.125967,0.028386,0.128148,0.128774,0.125131,0.095912,0.126467,0.126896,0.125825,0.125495,0.125777,0.126565,0.126427,0.127239,0.102581,0.125356,0.025990,0.127916,0.126649,0.126146,0.095870,0.126411,0.123575,0.125505,0.125514,0.126609,0.127697,0.125981,0.126529,0.103385,0.125513,0.000000,0.128811,0.128404,0.125130,0.098442
HAP4_chr12,0.132071,0.129055,0.127592,0.126194,0.127352,0.132742,0.128367,0.127990,0.129476,0.127494,0.130728,0.027818,0.106521,0.108560,0.128737,0.129341,0.133139,0.127510,0.126062,0.132552,0.128490,0.131405,0.129464,0.124381,0.126991,0.131144,0.027330,0.106802,0.106116,0.128567,0.128845,0.132999,0.127666,0.126482,0.131240,0.128037,0.128091,0.129861,0.125439,0.128710,0.132483,0.028441,0.107551,0.106913,0.128829,0.128744,0.130501,0.127156,0.125710,0.132257,0.128908,0.128856,0.128834,0.125114,0.128261,0.128811,0.000000,0.108541,0.108623,0.128092
HAP4_chr13,0.130949,0.132414,0.130272,0.128421,0.130283,0.131433,0.130415,0.129791,0.131947,0.129794,0.129812,0.105506,0.026404,0.096196,0.130809,0.130639,0.131298,0.130657,0.128818,0.130313,0.130154,0.131917,0.131861,0.126393,0.129489,0.130063,0.106611,0.024708,0.093335,0.131126,0.131454,0.131943,0.130703,0.130673,0.130343,0.130560,0.129731,0.131831,0.127825,0.129130,0.131378,0.105858,0.028208,0.094960,0.131120,0.131340,0.128991,0.129080,0.129127,0.130524,0.130338,0.130428,0.131784,0.129008,0.130667,0.128404,0.108541,0.000000,0.097741,0.130638
HAP4_chr14,0.126807,0.125553,0.125329,0.121196,0.122563,0.128727,0.124411,0.126584,0.124908,0.122233,0.126578,0.108812,0.095227,0.028031,0.123699,0.124577,0.128810,0.124214,0.121869,0.127243,0.122858,0.130702,0.125394,0.118792,0.122838,0.127474,0.107693,0.095680,0.026419,0.123557,0.124356,0.128679,0.125327,0.123385,0.127244,0.124901,0.127041,0.125234,0.121168,0.122886,0.128566,0.108218,0.096374,0.029402,0.125177,0.124691,0.125584,0.122621,0.122556,0.127840,0.124781,0.127519,0.123814,0.121713,0.122626,0.125130,0.108623,0.097741,0.000000,0.123344
HAP4_chr15,0.128572,0.126729,0.125967,0.106067,0.124877,0.130436,0.125830,0.129009,0.126164,0.124080,0.097300,0.128553,0.130164,0.123559,0.024820,0.125810,0.130128,0.125549,0.123857,0.129411,0.124208,0.132327,0.126261,0.107103,0.123832,0.100541,0.127567,0.131207,0.124659,0.026261,0.126023,0.130615,0.125306,0.124942,0.128786,0.125733,0.127989,0.126863,0.105498,0.124120,0.097927,0.126329,0.128822,0.125034,0.028082,0.126362,0.126355,0.124358,0.124776,0.128788,0.125784,0.129248,0.125714,0.105798,0.123683,0.098442,0.128092,0.130638,0.123344,0.000000
