,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16,HAP4_chr17,HAP4_chr18,HAP4_chr19,HAP4_chr20,HAP4_chr21,HAP4_chr23,HAP4_chr24,HAP4_chr25
HAP1_chr25,0.124668,0.124893,0.118741,0.125720,0.125457,0.127059,0.127620,0.129230,0.125566,0.125177,0.122193,0.124325,0.128632,0.128470,0.125165,0.126085,0.127921,0.123728,0.122561,0.126450,0.124000,0.120049,0.128372,0.129441,0.000000,0.123641,0.125453,0.120493,0.126314,0.125268,0.128090,0.127429,0.128168,0.125046,0.126772,0.122042,0.124380,0.123679,0.119776,0.125990,0.126537,0.128146,0.124056,0.121805,0.127030,0.122674,0.119493,0.126825,0.129471,0.014426,0.124031,0.125122,0.121134,0.127313,0.125122,0.127859,0.126476,0.127751,0.126192,0.124273,0.122878,0.124685,0.128603,0.127930,0.125183,0.125997,0.128776,0.123506,0.126500,0.127194,0.123528,0.126537,0.129292,0.014470,0.124589,0.124857,0.121135,0.125426,0.124005,0.127851,0.126778,0.128466,0.127807,0.123283,0.121843,0.124698,0.124242,0.126974,0.123301,0.124951,0.127206,0.123185,0.126079,0.125325,0.124226,0.127664,0.126981,0.013387
HAP2_chr01,0.013974,0.119916,0.114398,0.126226,0.118355,0.122964,0.123321,0.126589,0.120583,0.125894,0.119296,0.120784,0.125598,0.125315,0.123088,0.120532,0.124858,0.119692,0.116834,0.122642,0.120437,0.116039,0.126788,0.128351,0.123641,0.000000,0.120862,0.113820,0.127089,0.118567,0.123878,0.119979,0.125848,0.121486,0.126317,0.119661,0.120952,0.123673,0.124442,0.122451,0.120506,0.125885,0.117830,0.116138,0.124544,0.120251,0.116026,0.124279,0.128693,0.122208,0.013311,0.120386,0.113131,0.126202,0.116192,0.123777,0.117910,0.126279,0.120993,0.124007,0.120566,0.121377,0.126020,0.125107,0.122503,0.120108,0.126219,0.117772,0.115834,0.123352,0.119677,0.124091,0.127659,0.121973,0.013593,0.118445,0.113022,0.124461,0.117800,0.123039,0.118593,0.126081,0.121437,0.123375,0.116591,0.119713,0.124727,0.124856,0.120663,0.119215,0.123991,0.117244,0.115673,0.122663,0.120380,0.124811,0.125407,0.122292
HAP2_chr02,0.121887,0.012972,0.117864,0.126522,0.120855,0.124453,0.124482,0.128400,0.123101,0.126239,0.121394,0.122272,0.126642,0.126844,0.124193,0.122772,0.126592,0.121118,0.119321,0.126099,0.122503,0.119950,0.128513,0.129028,0.125453,0.120862,0.000000,0.117635,0.127334,0.120927,0.125829,0.123450,0.127147,0.124100,0.128127,0.121017,0.121801,0.125429,0.125724,0.124963,0.122952,0.127469,0.121230,0.118846,0.126334,0.122695,0.118134,0.126559,0.129166,0.124215,0.120351,0.012009,0.117786,0.127089,0.120548,0.125082,0.121824,0.126875,0.123312,0.124862,0.121466,0.123191,0.127725,0.125673,0.123743,0.122688,0.127681,0.120393,0.119320,0.125838,0.122072,0.126077,0.128000,0.123592,0.120945,0.012238,0.118172,0.125547,0.121178,0.124511,0.121941,0.127515,0.124328,0.124534,0.118268,0.122405,0.126550,0.125914,0.123071,0.121369,0.126325,0.118814,0.120069,0.124277,0.122870,0.125899,0.126459,0.124870
HAP2_chr03,0.115847,0.117042,0.018982,0.121691,0.114332,0.121417,0.118684,0.126779,0.119350,0.115369,0.118226,0.119608,0.120760,0.124388,0.122813,0.119364,0.125195,0.118322,0.114629,0.122853,0.119509,0.111578,0.127172,0.129427,0.120493,0.113820,0.117635,0.000000,0.123021,0.114246,0.123207,0.116596,0.125684,0.119813,0.122560,0.118226,0.117624,0.115627,0.122751,0.122765,0.118927,0.125206,0.115609,0.113769,0.123629,0.119475,0.110610,0.124174,0.129420,0.121396,0.113668,0.117221,0.018822,0.120617,0.112597,0.122584,0.113802,0.125110,0.119725,0.110094,0.119218,0.118664,0.123256,0.124231,0.122363,0.118798,0.125257,0.114255,0.110057,0.122905,0.119493,0.124306,0.129101,0.115836,0.113117,0.116294,0.016341,0.118638,0.110152,0.121502,0.112869,0.125599,0.119782,0.110505,0.114630,0.118857,0.121089,0.123264,0.120056,0.118376,0.121962,0.113699,0.109440,0.122127,0.119232,0.125036,0.126980,0.116817
HAP2_chr04,0.127301,0.126514,0.123365,0.013804,0.126448,0.128671,0.129473,0.131140,0.128503,0.128169,0.125135,0.125057,0.130157,0.130880,0.126642,0.128434,0.130745,0.126093,0.124133,0.128957,0.126537,0.122418,0.129618,0.131167,0.126314,0.127089,0.127334,0.123021,0.000000,0.126818,0.129561,0.129485,0.130019,0.127545,0.129275,0.123833,0.125304,0.128184,0.129445,0.128494,0.127450,0.130906,0.125746,0.123610,0.129665,0.125870,0.121835,0.128028,0.129998,0.127252,0.126459,0.126973,0.122939,0.013337,0.126044,0.129056,0.127573,0.130282,0.127446,0.126698,0.124951,0.126030,0.132167,0.130604,0.127355,0.127542,0.130988,0.124386,0.127365,0.128554,0.125805,0.128327,0.130008,0.126161,0.127183,0.126951,0.123051,0.012943,0.127543,0.129114,0.128334,0.130813,0.128375,0.125658,0.122616,0.125979,0.129812,0.129361,0.126761,0.126860,0.130114,0.123642,0.127803,0.128232,0.127039,0.128651,0.128753,0.125676
HAP2_chr05,0.119640,0.120582,0.114604,0.126541,0.011328,0.123198,0.122573,0.127162,0.121034,0.125318,0.119967,0.121003,0.126721,0.126621,0.123091,0.120989,0.125552,0.120161,0.116540,0.124750,0.121984,0.117669,0.128013,0.129264,0.125268,0.118567,0.120927,0.114246,0.126818,0.000000,0.124008,0.120913,0.126506,0.120961,0.127906,0.119623,0.121665,0.124510,0.124754,0.124694,0.121645,0.126092,0.119456,0.116136,0.125311,0.122210,0.116100,0.125168,0.129446,0.125039,0.117667,0.120805,0.114907,0.127381,0.011369,0.123712,0.118462,0.126386,0.121684,0.123711,0.120339,0.121482,0.126882,0.126120,0.123091,0.121635,0.127431,0.118418,0.115378,0.123664,0.122111,0.125516,0.128349,0.123729,0.118042,0.119620,0.113748,0.125001,0.011791,0.123693,0.118369,0.126790,0.122165,0.123980,0.117118,0.121437,0.124032,0.125348,0.122335,0.120705,0.124867,0.117350,0.115608,0.123470,0.122297,0.126155,0.126773,0.124231
HAP2_chr06,0.124678,0.124884,0.122649,0.128591,0.124172,0.011944,0.127943,0.126526,0.124631,0.127966,0.124222,0.124509,0.129150,0.130283,0.126419,0.124878,0.128368,0.124342,0.122606,0.127689,0.125139,0.122540,0.129908,0.130549,0.128090,0.123878,0.125829,0.123207,0.129561,0.124008,0.000000,0.126669,0.129720,0.125442,0.130383,0.123329,0.124388,0.127948,0.128582,0.127232,0.125176,0.128948,0.123907,0.122373,0.128587,0.125118,0.122379,0.127943,0.130924,0.127589,0.123670,0.125636,0.122897,0.129588,0.123632,0.011275,0.124964,0.129334,0.124915,0.126963,0.124576,0.124988,0.129672,0.129452,0.125681,0.125427,0.130373,0.122946,0.123877,0.127202,0.125411,0.128176,0.130313,0.126820,0.124090,0.124431,0.122761,0.127628,0.123791,0.010772,0.125512,0.129479,0.126330,0.126882,0.121952,0.124834,0.128424,0.129258,0.125774,0.125374,0.128970,0.122604,0.123753,0.126517,0.125899,0.128430,0.128153,0.127075
HAP2_chr07,0.121158,0.123450,0.117172,0.127784,0.121229,0.125552,0.016992,0.129647,0.123516,0.128562,0.122697,0.122673,0.128402,0.128747,0.125722,0.122988,0.128175,0.121926,0.119040,0.126483,0.123433,0.119980,0.130064,0.130567,0.127429,0.119979,0.123450,0.116596,0.129485,0.120913,0.126669,0.000000,0.129340,0.123310,0.129724,0.122583,0.123165,0.126294,0.127198,0.127538,0.123755,0.127991,0.121008,0.119236,0.127391,0.124175,0.119287,0.127760,0.131235,0.125463,0.119750,0.122875,0.116019,0.129006,0.120590,0.126763,0.014886,0.127837,0.122809,0.127486,0.122560,0.122594,0.127990,0.127960,0.126124,0.123690,0.129668,0.120416,0.119668,0.127170,0.123091,0.127496,0.130112,0.125797,0.115890,0.121829,0.116496,0.126522,0.121126,0.125584,0.014132,0.128903,0.123316,0.126394,0.118959,0.122981,0.127315,0.128124,0.124405,0.122523,0.127975,0.119119,0.119082,0.125762,0.124554,0.127667,0.128256,0.125353
HAP2_chr08,0.126568,0.127329,0.125924,0.130254,0.126904,0.128792,0.129817,0.014368,0.127523,0.129200,0.125347,0.126424,0.129473,0.130617,0.128101,0.127589,0.130220,0.126878,0.123935,0.128346,0.126523,0.124605,0.130335,0.131789,0.128168,0.125848,0.127147,0.125684,0.130019,0.126506,0.129720,0.129340,0.000000,0.128083,0.130050,0.124858,0.126513,0.129194,0.130113,0.128538,0.128469,0.130633,0.125039,0.123519,0.129101,0.126989,0.124074,0.128557,0.132224,0.127310,0.126045,0.127524,0.126505,0.130367,0.126714,0.129023,0.127755,0.012477,0.127487,0.128325,0.125457,0.127017,0.130260,0.130515,0.127302,0.128229,0.130403,0.125227,0.127450,0.128125,0.126572,0.128406,0.131696,0.127688,0.126207,0.127087,0.126885,0.128872,0.127393,0.129199,0.128590,0.012633,0.128377,0.127307,0.123909,0.126682,0.130137,0.129337,0.126466,0.126966,0.129412,0.124675,0.127190,0.127444,0.127255,0.129184,0.129906,0.127939
HAP2_chr09,0.122725,0.123035,0.119586,0.127762,0.121523,0.125349,0.124968,0.129189,0.013260,0.127125,0.122336,0.122810,0.127782,0.128152,0.125094,0.123194,0.127425,0.122729,0.118971,0.126431,0.123377,0.120168,0.129238,0.129625,0.125046,0.121486,0.124100,0.119813,0.127545,0.120961,0.125442,0.123310,0.128083,0.000000,0.128620,0.121753,0.122588,0.125426,0.126720,0.126131,0.123634,0.128228,0.121759,0.119320,0.126105,0.124158,0.119497,0.126147,0.129490,0.124326,0.122110,0.123984,0.120129,0.127564,0.121585,0.125908,0.122490,0.127720,0.011561,0.126093,0.122208,0.123336,0.127960,0.127859,0.124900,0.123483,0.128436,0.120707,0.120967,0.125185,0.123724,0.126576,0.129417,0.124641,0.122228,0.122752,0.120098,0.125701,0.121744,0.125497,0.122651,0.127963,0.010985,0.125010,0.119715,0.122570,0.126556,0.126633,0.124019,0.122689,0.127416,0.119596,0.120552,0.125219,0.124200,0.127453,0.126718,0.123464
HAP2_chr10,0.127526,0.128032,0.122360,0.128329,0.127814,0.129483,0.131000,0.131632,0.128464,0.012177,0.125445,0.127010,0.130270,0.129951,0.127937,0.128146,0.129917,0.126964,0.125225,0.128127,0.127091,0.124617,0.130182,0.131888,0.126772,0.126317,0.128127,0.122560,0.129275,0.127906,0.130383,0.129724,0.130050,0.128620,0.000000,0.125555,0.126963,0.128154,0.129615,0.128605,0.128450,0.131008,0.127227,0.124176,0.128938,0.126624,0.124407,0.129033,0.132255,0.128183,0.127351,0.128107,0.122811,0.129135,0.127382,0.130004,0.128929,0.129646,0.128731,0.012911,0.126325,0.126916,0.130758,0.129844,0.128084,0.128153,0.131658,0.126504,0.129114,0.128842,0.126861,0.128399,0.131881,0.127073,0.126893,0.126832,0.123013,0.127647,0.127279,0.129289,0.129212,0.130594,0.128996,0.012700,0.123782,0.127071,0.129947,0.129541,0.126962,0.128414,0.129917,0.124978,0.128796,0.128262,0.127453,0.129626,0.130204,0.126814
HAP2_chr11,0.120324,0.120216,0.118662,0.122885,0.119136,0.122585,0.122942,0.125525,0.121165,0.124088,0.010338,0.119577,0.125079,0.125839,0.121449,0.122194,0.124249,0.120353,0.116073,0.122922,0.120060,0.116810,0.125484,0.126485,0.122042,0.119661,0.121017,0.118226,0.123833,0.119623,0.123329,0.122583,0.124858,0.121753,0.125555,0.000000,0.119277,0.124022,0.123503,0.122407,0.121679,0.124944,0.119396,0.117016,0.123005,0.119837,0.117019,0.122987,0.126288,0.122078,0.119449,0.121055,0.117806,0.124153,0.118617,0.123104,0.120639,0.125185,0.120788,0.123009,0.011297,0.119885,0.125685,0.124501,0.120991,0.121175,0.125205,0.118614,0.119935,0.122153,0.120375,0.123184,0.126133,0.121767,0.119537,0.120268,0.118028,0.122115,0.119281,0.122997,0.119680,0.125102,0.122086,0.122603,0.034982,0.120106,0.125431,0.123120,0.120115,0.120907,0.123913,0.118678,0.119619,0.122193,0.121091,0.123707,0.123541,0.121510
HAP2_chr12,0.121521,0.121553,0.118793,0.124190,0.120755,0.123263,0.125167,0.126841,0.123003,0.125504,0.120583,0.012557,0.126480,0.126829,0.123776,0.122543,0.126214,0.121045,0.118686,0.124249,0.121624,0.119143,0.127639,0.127343,0.124380,0.120952,0.121801,0.117624,0.125304,0.121665,0.124388,0.123165,0.126513,0.122588,0.126963,0.119277,0.000000,0.125216,0.126007,0.123845,0.122778,0.126361,0.120438,0.118351,0.125252,0.121450,0.116970,0.124631,0.127910,0.122886,0.121447,0.121921,0.118630,0.123829,0.120286,0.124208,0.121738,0.125645,0.121234,0.123138,0.120378,0.012534,0.126879,0.126766,0.122811,0.121856,0.126619,0.119339,0.121564,0.124427,0.121549,0.125106,0.127595,0.121769,0.120629,0.121586,0.118459,0.123060,0.121062,0.124852,0.121895,0.125828,0.123071,0.123104,0.117565,0.012529,0.125610,0.126402,0.122949,0.121799,0.125354,0.119392,0.121173,0.123931,0.122576,0.125741,0.125299,0.124092
HAP2_chr13,0.124447,0.125167,0.113435,0.127587,0.124664,0.127348,0.127279,0.129321,0.125776,0.126321,0.123489,0.124770,0.012359,0.128235,0.125776,0.125163,0.128798,0.123688,0.122053,0.127239,0.124613,0.121253,0.130142,0.130591,0.123679,0.123673,0.125429,0.115627,0.128184,0.124510,0.127948,0.126294,0.129194,0.125426,0.128154,0.124022,0.125216,0.000000,0.128145,0.126598,0.125377,0.127561,0.123666,0.121078,0.128189,0.124211,0.120817,0.128343,0.131143,0.124611,0.122770,0.124987,0.116136,0.127473,0.124335,0.127826,0.124648,0.128918,0.125743,0.124978,0.124204,0.124907,0.014276,0.129032,0.125723,0.125471,0.129028,0.122750,0.124707,0.128293,0.124660,0.127700,0.130335,0.123639,0.123903,0.124704,0.116020,0.125452,0.124256,0.127328,0.125006,0.129262,0.126806,0.123767,0.121073,0.124702,0.013500,0.127463,0.124520,0.124667,0.127875,0.122842,0.124436,0.126486,0.124883,0.128650,0.128643,0.123493
HAP2_chr14,0.126764,0.126360,0.121695,0.128991,0.125964,0.128505,0.127167,0.130810,0.126532,0.128207,0.124005,0.126128,0.129984,0.012926,0.126138,0.125360,0.129325,0.125094,0.123469,0.128478,0.125198,0.123142,0.131166,0.130921,0.119776,0.124442,0.125724,0.122751,0.129445,0.124754,0.128582,0.127198,0.130113,0.126720,0.129615,0.123503,0.126007,0.128145,0.000000,0.127786,0.126499,0.129350,0.124207,0.123223,0.128934,0.125416,0.122567,0.129219,0.132136,0.126950,0.124085,0.125940,0.122490,0.129541,0.125736,0.129045,0.126056,0.129335,0.126980,0.126961,0.124108,0.126139,0.129533,0.013112,0.126247,0.126422,0.131540,0.123676,0.125582,0.129093,0.125733,0.129031,0.130907,0.123665,0.125974,0.125927,0.122315,0.128488,0.126073,0.129278,0.126176,0.130508,0.126989,0.127352,0.121510,0.126163,0.128960,0.013358,0.125914,0.124919,0.130219,0.123434,0.125229,0.127662,0.126329,0.128928,0.129298,0.114279
HAP2_chr15,0.124062,0.124029,0.122572,0.127055,0.124567,0.126491,0.127836,0.128525,0.125273,0.127448,0.122394,0.123979,0.128676,0.129160,0.014826,0.124857,0.128020,0.123965,0.121282,0.126430,0.124287,0.120627,0.128870,0.129327,0.125990,0.122451,0.124963,0.122765,0.128494,0.124694,0.127232,0.127538,0.128538,0.126131,0.128605,0.122407,0.123845,0.126598,0.127786,0.000000,0.124585,0.127752,0.123020,0.121300,0.126447,0.123695,0.120479,0.126626,0.130284,0.125802,0.123272,0.125115,0.122862,0.127560,0.124255,0.127141,0.125427,0.128323,0.126398,0.126162,0.122309,0.124477,0.129362,0.128386,0.013681,0.124757,0.128535,0.123399,0.125318,0.125711,0.124009,0.127148,0.128467,0.124919,0.122683,0.124283,0.123650,0.126630,0.124444,0.127595,0.126282,0.127852,0.127179,0.125414,0.120487,0.123751,0.128337,0.127606,0.013119,0.124065,0.126315,0.122855,0.124941,0.125407,0.123144,0.127547,0.127589,0.125737
HAP2_chr16,0.121003,0.122747,0.119218,0.126397,0.121855,0.124378,0.125108,0.128192,0.123445,0.128100,0.121155,0.122505,0.127366,0.128165,0.123489,0.011318,0.125165,0.121812,0.119286,0.124872,0.122034,0.118748,0.128435,0.129147,0.126537,0.120506,0.122952,0.118927,0.127450,0.121645,0.125176,0.123755,0.128469,0.123634,0.128450,0.121679,0.122778,0.125377,0.126499,0.124585,0.000000,0.126367,0.120839,0.118602,0.125483,0.122589,0.119359,0.126246,0.128998,0.124680,0.119606,0.122895,0.118584,0.126087,0.121162,0.125323,0.122290,0.126553,0.123460,0.125968,0.122087,0.122778,0.127071,0.126621,0.124120,0.010988,0.127475,0.119919,0.120248,0.125483,0.121807,0.126373,0.128670,0.125222,0.120406,0.121746,0.118939,0.125140,0.121145,0.124886,0.122355,0.128548,0.123334,0.124622,0.118663,0.122809,0.127172,0.126629,0.123126,0.010942,0.126460,0.119177,0.120510,0.125022,0.122976,0.126670,0.126649,0.125664
HAP2_chr17,0.126043,0.126587,0.125480,0.129934,0.126468,0.128374,0.129045,0.130692,0.128078,0.130475,0.125879,0.126138,0.130214,0.129708,0.127195,0.125509,0.010461,0.125523,0.123069,0.127362,0.126369,0.125202,0.130691,0.131456,0.128146,0.125885,0.127469,0.125206,0.130906,0.126092,0.128948,0.127991,0.130633,0.128228,0.131008,0.124944,0.126361,0.127561,0.129350,0.127752,0.126367,0.000000,0.125517,0.123200,0.128234,0.126194,0.123941,0.129321,0.131969,0.127344,0.126166,0.126363,0.124724,0.130197,0.126069,0.129479,0.126913,0.129863,0.127975,0.127946,0.125265,0.126206,0.130397,0.130197,0.127373,0.125356,0.012551,0.124846,0.127400,0.128145,0.126321,0.128397,0.131233,0.127997,0.126286,0.126949,0.125891,0.129186,0.126074,0.129202,0.127840,0.130789,0.128490,0.128360,0.123696,0.126771,0.129357,0.130254,0.126111,0.124804,0.012711,0.124387,0.127152,0.128231,0.127216,0.129465,0.129186,0.128170
HAP2_chr18,0.119506,0.120120,0.115354,0.124233,0.118873,0.122568,0.123266,0.126073,0.121213,0.124945,0.120032,0.120188,0.125541,0.124847,0.122880,0.120742,0.124325,0.013071,0.117007,0.123297,0.120020,0.117100,0.125564,0.126707,0.124056,0.117830,0.121230,0.115609,0.125746,0.119456,0.123907,0.121008,0.125039,0.121759,0.127227,0.119396,0.120438,0.123666,0.124207,0.123020,0.120839,0.125517,0.000000,0.116662,0.124575,0.120384,0.116084,0.123961,0.127440,0.123370,0.118264,0.120516,0.115551,0.125272,0.118962,0.124404,0.118970,0.125363,0.121269,0.123398,0.119962,0.120448,0.125935,0.125574,0.122446,0.120053,0.125410,0.012150,0.117919,0.123619,0.120309,0.124481,0.127184,0.122590,0.117894,0.119280,0.115764,0.122996,0.118712,0.122795,0.119617,0.126474,0.122195,0.122530,0.117262,0.119782,0.125165,0.125088,0.120996,0.119401,0.122989,0.012255,0.117920,0.123039,0.120785,0.124539,0.124692,0.123054
HAP2_chr19,0.116990,0.118000,0.112876,0.122931,0.116185,0.121370,0.120489,0.123945,0.119629,0.122333,0.117603,0.117920,0.122982,0.123231,0.120191,0.118368,0.122541,0.118064,0.007238,0.120774,0.118444,0.114386,0.124893,0.125517,0.121805,0.116138,0.118846,0.113769,0.123610,0.116136,0.122373,0.119236,0.123519,0.119320,0.124176,0.117016,0.118351,0.121078,0.123223,0.121300,0.118602,0.123200,0.116662,0.000000,0.122433,0.118377,0.114011,0.121939,0.126128,0.121091,0.115332,0.118770,0.113462,0.123553,0.115702,0.121557,0.116454,0.123052,0.119474,0.122053,0.117822,0.118173,0.123600,0.123059,0.120325,0.117599,0.123638,0.115713,0.053366,0.120508,0.118745,0.121463,0.125844,0.120467,0.116332,0.117324,0.113984,0.121386,0.116196,0.121039,0.117259,0.123616,0.119524,0.120635,0.114070,0.118380,0.122947,0.122542,0.118486,0.117918,0.122344,0.115102,0.053098,0.120118,0.119475,0.122569,0.122607,0.120994
HAP2_chr20,0.124617,0.125449,0.124366,0.129472,0.125359,0.127992,0.127990,0.129044,0.126247,0.129188,0.123895,0.124642,0.129127,0.129665,0.126447,0.124786,0.127337,0.124712,0.122468,0.011846,0.124626,0.123188,0.129141,0.131280,0.127030,0.124544,0.126334,0.123629,0.129665,0.125311,0.128587,0.127391,0.129101,0.126105,0.128938,0.123005,0.125252,0.128189,0.128934,0.126447,0.125483,0.128234,0.124575,0.122433,0.000000,0.125832,0.122859,0.127692,0.130759,0.126834,0.124409,0.126489,0.124537,0.129334,0.124916,0.128407,0.126346,0.127938,0.126441,0.127067,0.124141,0.125207,0.128969,0.129943,0.126719,0.124783,0.128231,0.124198,0.125712,0.011822,0.124946,0.128036,0.130907,0.126166,0.124438,0.125576,0.124415,0.128012,0.124745,0.128111,0.125826,0.128955,0.126247,0.127473,0.121933,0.125145,0.128211,0.128251,0.125750,0.124770,0.127754,0.123866,0.125794,0.011714,0.125479,0.128306,0.129058,0.126682
HAP2_chr21,0.121056,0.121167,0.119083,0.123785,0.121970,0.124931,0.124747,0.113833,0.123325,0.126007,0.119731,0.121081,0.126461,0.125855,0.123564,0.122282,0.125799,0.120745,0.119705,0.124747,0.014302,0.118056,0.126500,0.127337,0.122674,0.120251,0.122695,0.119475,0.125870,0.122210,0.125118,0.124175,0.126989,0.124158,0.126624,0.119837,0.121450,0.124211,0.125416,0.123695,0.122589,0.126194,0.120384,0.118377,0.125832,0.000000,0.117814,0.124926,0.127090,0.122303,0.120310,0.121881,0.119301,0.125420,0.121669,0.124587,0.121859,0.126545,0.123726,0.122730,0.121114,0.121679,0.126396,0.125779,0.123561,0.122483,0.125954,0.119467,0.122311,0.125986,0.014148,0.124144,0.126439,0.121430,0.121015,0.121566,0.119523,0.124037,0.120598,0.124944,0.121781,0.126431,0.123868,0.123410,0.118627,0.121453,0.126251,0.124647,0.121553,0.121385,0.124606,0.118983,0.121751,0.124470,0.014657,0.125665,0.124703,0.122633
HAP2_chr22,0.117253,0.117999,0.111706,0.121047,0.116647,0.120816,0.121013,0.125247,0.120134,0.121954,0.117645,0.118036,0.123129,0.123953,0.120100,0.118449,0.123934,0.117664,0.115009,0.121689,0.117619,0.012806,0.124025,0.125707,0.119493,0.116026,0.118134,0.110610,0.121835,0.116100,0.122379,0.119287,0.124074,0.119497,0.124407,0.117019,0.116970,0.120817,0.122567,0.120479,0.119359,0.123941,0.116084,0.114011,0.122859,0.117814,0.000000,0.121679,0.125289,0.118089,0.116198,0.118586,0.110112,0.120816,0.115830,0.121341,0.117848,0.123552,0.118545,0.119827,0.117634,0.119011,0.124336,0.123834,0.119461,0.118470,0.124847,0.114925,0.051065,0.121938,0.118246,0.121732,0.125165,0.117518,0.115724,0.117089,0.110913,0.119274,0.116470,0.121417,0.117852,0.123716,0.119356,0.119333,0.115195,0.118692,0.122691,0.121860,0.117303,0.118314,0.122562,0.114368,0.052291,0.120767,0.118837,0.122106,0.122674,0.116731
HAP2_chr23,0.124507,0.125443,0.123567,0.127943,0.125201,0.127133,0.127755,0.129461,0.125725,0.128283,0.123624,0.125028,0.128872,0.129376,0.126107,0.126194,0.128295,0.124543,0.122648,0.126678,0.124827,0.121254,0.012767,0.130276,0.126825,0.124279,0.126559,0.124174,0.128028,0.125168,0.127943,0.127760,0.128557,0.126147,0.129033,0.122987,0.124631,0.128343,0.129219,0.126626,0.126246,0.129321,0.123961,0.121939,0.127692,0.124926,0.121679,0.000000,0.130646,0.125978,0.125090,0.125268,0.123823,0.128991,0.125833,0.128421,0.126491,0.128380,0.126117,0.126830,0.124064,0.125250,0.129395,0.128477,0.126081,0.125770,0.129542,0.123911,0.125716,0.126073,0.124793,0.012030,0.130020,0.126463,0.124204,0.125730,0.124124,0.127121,0.125215,0.127918,0.126637,0.129629,0.126399,0.126575,0.121364,0.125523,0.128641,0.128591,0.124567,0.125428,0.127952,0.122623,0.125458,0.126491,0.125103,0.012255,0.127772,0.126031
HAP2_chr24,0.128708,0.128404,0.129274,0.129560,0.129034,0.130076,0.131318,0.132384,0.129587,0.131217,0.127517,0.127517,0.131590,0.131724,0.129580,0.129809,0.131603,0.127307,0.126139,0.131159,0.127473,0.125375,0.131441,0.013728,0.129471,0.128693,0.129166,0.129420,0.129998,0.129446,0.130924,0.131235,0.132224,0.129490,0.132255,0.126288,0.127910,0.131143,0.132136,0.130284,0.128998,0.131969,0.127440,0.126128,0.130759,0.127090,0.125289,0.130646,0.000000,0.128970,0.128956,0.129050,0.129766,0.131069,0.129274,0.130883,0.129827,0.131568,0.129130,0.130248,0.127453,0.128259,0.132441,0.132286,0.130237,0.129202,0.131592,0.127283,0.130882,0.130321,0.127594,0.129982,0.013073,0.128941,0.128889,0.128109,0.129128,0.129723,0.129747,0.130424,0.130647,0.132396,0.129553,0.130051,0.125485,0.128037,0.132345,0.131930,0.128982,0.128581,0.130782,0.126338,0.130608,0.129727,0.128746,0.131233,0.014420,0.128547
HAP2_chr25,0.123172,0.123752,0.119975,0.126275,0.123818,0.125663,0.126633,0.127530,0.124520,0.126619,0.122229,0.123222,0.127493,0.126894,0.124313,0.124736,0.127244,0.122587,0.121202,0.125779,0.123201,0.119353,0.128157,0.128776,0.014426,0.122208,0.124215,0.121396,0.127252,0.125039,0.127589,0.125463,0.127310,0.124326,0.128183,0.122078,0.122886,0.124611,0.126950,0.125802,0.124680,0.127344,0.123370,0.121091,0.126834,0.122303,0.118089,0.125978,0.128970,0.000000,0.122886,0.123747,0.121971,0.126785,0.124364,0.127112,0.125007,0.125393,0.125101,0.124880,0.123335,0.124128,0.128018,0.127531,0.124341,0.124717,0.129026,0.122264,0.125226,0.126118,0.123794,0.126281,0.129018,0.014095,0.123676,0.123689,0.121685,0.126017,0.124152,0.127507,0.125452,0.126657,0.124611,0.124768,0.120562,0.123256,0.125723,0.126757,0.122609,0.123325,0.127052,0.121826,0.124214,0.124934,0.124091,0.126842,0.126870,0.015094
